cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001927,C0036085,STIMULATES,Albuterol,"Saline Solution, Hypertonic",orch,inch,1,STIMULATES_ORCHstimINCH
C0001962,C0007026,STIMULATES,Ethanol,Carbonates,orch,inch,1,STIMULATES_ORCHstimINCH
C0001962,C0008203,STIMULATES,Ethanol,Chlorides,orch,inch,1,STIMULATES_ORCHstimINCH
C0002508,C0037098,STIMULATES,Amines,Silicon Dioxide,orch,inch,1,STIMULATES_ORCHstimINCH
C0006521,C0013832,STIMULATES,Butyrates,Electrolytes,orch,inch,1,STIMULATES_ORCHstimINCH
C0006521,C0043047,STIMULATES,Butyrates,Water,orch,inch,1,STIMULATES_ORCHstimINCH
C0006993,C0596260,STIMULATES,Carbodiimides,Carboxyl Group,orch,inch,1,STIMULATES_ORCHstimINCH
C0022239,C0020746,STIMULATES,Isopropyl Thiogalactoside,Ice,orch,inch,2,STIMULATES_ORCHstimINCH
C0025617,C4505224,STIMULATES,Methane,Greenhouse Gases,orch,inch,1,STIMULATES_ORCHstimINCH
C0031493,C0029366,STIMULATES,Phenylmethylsulfonyl Fluoride,Orthovanadate,orch,inch,1,STIMULATES_ORCHstimINCH
C0032594,C0043047,STIMULATES,Polysaccharides,Water,orch,inch,3,STIMULATES_ORCHstimINCH
C0050456,C0007026,STIMULATES,acetonitrile,Carbonates,orch,inch,1,STIMULATES_ORCHstimINCH
C0051561,C0063146,STIMULATES,amentoflavone,Hydroxyl Radical,orch,inch,1,STIMULATES_ORCHstimINCH
C0058291,C0032825,STIMULATES,dimyristoylphosphatidylglycerol,Potassium Chloride,orch,inch,1,STIMULATES_ORCHstimINCH
C0060850,C0007026,STIMULATES,furan,Carbonates,orch,inch,1,STIMULATES_ORCHstimINCH
C0386125,C0005367,STIMULATES,stachybocin A,Bicarbonates,orch,inch,1,STIMULATES_ORCHstimINCH
C0917964,C0008203,STIMULATES,Colforsin,Chlorides,orch,inch,3,STIMULATES_ORCHstimINCH
