cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004635,C0032285,TREATS,bactericide,Pneumonia,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0004635,C0242994,TREATS,bactericide,Hantavirus Infections,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0011740,C0042769,TREATS,Detergents,Virus Diseases,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0033262,C0003864,TREATS,Prodrugs,Arthritis,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0033262,C0019247,TREATS,Prodrugs,Hereditary Diseases,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0033262,C0206608,TREATS,Prodrugs,Flavivirus Infections,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0033262,C0282687,TREATS,Prodrugs,"Hemorrhagic Fever, Ebola",chvf,dsyn,2,TREATS_CHVFtrtsDSYN
C0033613,C0010414,TREATS,Protective Agents,Infection by Cryptococcus neoformans,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0033613,C0023364,TREATS,Protective Agents,Leptospirosis,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0033613,C4055183,TREATS,Protective Agents,Contrast - Induced Nephropathy,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0085158,C0032080,TREATS,Agrochemicals,Plant Diseases,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0085403,C0028754,TREATS,Oxidants,Obesity,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0086466,C0008679,TREATS,Injectables,Chronic disease,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243076,C0004364,TREATS,antagonists,Autoimmune Diseases,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243076,C0009450,TREATS,antagonists,Communicable Diseases,chvf,dsyn,2,TREATS_CHVFtrtsDSYN
C0243076,C0021053,TREATS,antagonists,Immune System Diseases,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243076,C0027765,TREATS,antagonists,nervous system disorder,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243076,C0036690,TREATS,antagonists,Septicemia,chvf,dsyn,4,TREATS_CHVFtrtsDSYN
C0243076,C0042769,TREATS,antagonists,Virus Diseases,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0002395,TREATS,inhibitors,Alzheimer's Disease,chvf,dsyn,7,TREATS_CHVFtrtsDSYN
C0243077,C0004623,TREATS,inhibitors,Bacterial Infections,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0007222,TREATS,inhibitors,Cardiovascular Diseases,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0008312,TREATS,inhibitors,Primary biliary cirrhosis,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0009319,TREATS,inhibitors,Colitis,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0009450,TREATS,inhibitors,Communicable Diseases,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0011847,TREATS,inhibitors,Diabetes,chvf,dsyn,2,TREATS_CHVFtrtsDSYN
C0243077,C0011849,TREATS,inhibitors,Diabetes Mellitus,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0011860,TREATS,inhibitors,"Diabetes Mellitus, Non-Insulin-Dependent",chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0014378,TREATS,inhibitors,Enterovirus Infections,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0015696,TREATS,inhibitors,"Fatty Liver, Alcoholic",chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0016667,TREATS,inhibitors,Fragile X Syndrome,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0019104,TREATS,inhibitors,"Hemorrhagic Fevers, Viral",chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0019196,TREATS,inhibitors,Hepatitis C,chvf,dsyn,2,TREATS_CHVFtrtsDSYN
C0243077,C0019693,TREATS,inhibitors,HIV Infections,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0020443,TREATS,inhibitors,Hypercholesterolemia,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0020498,TREATS,inhibitors,"Hyperostosis, Diffuse Idiopathic Skeletal",chvf,dsyn,2,TREATS_CHVFtrtsDSYN
C0243077,C0021053,TREATS,inhibitors,Immune System Diseases,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0021400,TREATS,inhibitors,Influenza,chvf,dsyn,4,TREATS_CHVFtrtsDSYN
C0243077,C0024115,TREATS,inhibitors,Lung diseases,chvf,dsyn,2,TREATS_CHVFtrtsDSYN
C0243077,C0024117,TREATS,inhibitors,Chronic Obstructive Airway Disease,chvf,dsyn,2,TREATS_CHVFtrtsDSYN
C0243077,C0024440,TREATS,inhibitors,"Macular Edema, Cystoid",chvf,dsyn,2,TREATS_CHVFtrtsDSYN
C0243077,C0025517,TREATS,inhibitors,Metabolic Diseases,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0026848,TREATS,inhibitors,Myopathy,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0029408,TREATS,inhibitors,Degenerative polyarthritis,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0031887,TREATS,inhibitors,Picornaviridae Infections,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
C0243077,C0032285,TREATS,inhibitors,Pneumonia,chvf,dsyn,1,TREATS_CHVFtrtsDSYN
