cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003380,C0023283,TREATS,Antimony,"Leishmaniasis, Cutaneous",elii,dsyn,1,TREATS_ELIItrtsDSYN
C0005642,C0039128,TREATS,Bismuth,Syphilis,elii,dsyn,1,TREATS_ELIItrtsDSYN
C0030054,C0008049,TREATS,Oxygen,Chickenpox,elii,dsyn,1,TREATS_ELIItrtsDSYN
C0030054,C0010340,TREATS,Oxygen,Critical Illness,elii,dsyn,1,TREATS_ELIItrtsDSYN
C0030054,C0032285,TREATS,Oxygen,Pneumonia,elii,dsyn,2,TREATS_ELIItrtsDSYN
C0030054,C0032310,TREATS,Oxygen,"Pneumonia, Viral",elii,dsyn,1,TREATS_ELIItrtsDSYN
C0030054,C0036690,TREATS,Oxygen,Septicemia,elii,dsyn,1,TREATS_ELIItrtsDSYN
C0030054,C0747676,TREATS,Oxygen,pneumonia childhood,elii,dsyn,1,TREATS_ELIItrtsDSYN
C0030054,C1175175,TREATS,Oxygen,Severe Acute Respiratory Syndrome,elii,dsyn,1,TREATS_ELIItrtsDSYN
C0030054,C3694279,TREATS,Oxygen,Middle East Respiratory Syndrome,elii,dsyn,1,TREATS_ELIItrtsDSYN
C0030054,C4039867,TREATS,Oxygen,Acute hypoxemic respiratory failure,elii,dsyn,1,TREATS_ELIItrtsDSYN
