cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009818,C0017319,TREATS,Consultation,General Practitioners,hlca,prog,1,TREATS_HLCAtrtsPROG
C0013194,C0401935,TREATS,Drug Packaging,Social scientist,hlca,prog,1,TREATS_HLCAtrtsPROG
C0019993,C0018724,TREATS,Hospitalization,Health Personnel,hlca,prog,1,TREATS_HLCAtrtsPROG
C0025355,C0018724,TREATS,Mental Health Services,Health Personnel,hlca,prog,1,TREATS_HLCAtrtsPROG
C0085557,C0018724,TREATS,Infectious disease prevention / control,Health Personnel,hlca,prog,2,TREATS_HLCAtrtsPROG
C0805586,C0018724,TREATS,Challenge,Health Personnel,hlca,prog,1,TREATS_HLCAtrtsPROG
C1261322,C0018724,TREATS,Evaluation procedure,Health Personnel,hlca,prog,1,TREATS_HLCAtrtsPROG
C1288295,C0018724,TREATS,Preparation - action,Health Personnel,hlca,prog,1,TREATS_HLCAtrtsPROG
C1522577,C0018724,TREATS,follow-up,Health Personnel,hlca,prog,2,TREATS_HLCAtrtsPROG
C1827659,C0018724,TREATS,Public health investigation,Health Personnel,hlca,prog,1,TREATS_HLCAtrtsPROG
C2718026,C0018724,TREATS,Capacity Building,Health Personnel,hlca,prog,1,TREATS_HLCAtrtsPROG
C4277528,C0018724,TREATS,Preventive Health Programs,Health Personnel,hlca,prog,1,TREATS_HLCAtrtsPROG
C4505148,C0018724,TREATS,Vaccination Coverage,Health Personnel,hlca,prog,1,TREATS_HLCAtrtsPROG
