cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001617,C0007450,TREATS,Adrenal Cortex Hormones,Felis catus,horm,mamm,9,TREATS_HORMtrtsMAMM
C0001617,C0012984,TREATS,Adrenal Cortex Hormones,Canis familiaris,horm,mamm,5,TREATS_HORMtrtsMAMM
C0001617,C0019944,TREATS,Adrenal Cortex Hormones,Equus caballus,horm,mamm,2,TREATS_HORMtrtsMAMM
C0001617,C0026809,TREATS,Adrenal Cortex Hormones,Mus,horm,mamm,1,TREATS_HORMtrtsMAMM
C0002006,C0007450,TREATS,Aldosterone,Felis catus,horm,mamm,2,TREATS_HORMtrtsMAMM
C0002844,C0034693,TREATS,Androgens,Rattus norvegicus,horm,mamm,1,TREATS_HORMtrtsMAMM
C0010137,C0026809,TREATS,Cortisone,Mus,horm,mamm,1,TREATS_HORMtrtsMAMM
C0011185,C3669731,TREATS,prasterone,Horse under one year old,horm,mamm,1,TREATS_HORMtrtsMAMM
C0012471,C0026809,TREATS,Dinoprost,Mus,horm,mamm,1,TREATS_HORMtrtsMAMM
C0012472,C0026809,TREATS,Dinoprostone,Mus,horm,mamm,6,TREATS_HORMtrtsMAMM
C0012472,C1520150,TREATS,Dinoprostone,Wild Type Mouse,horm,mamm,1,TREATS_HORMtrtsMAMM
C0014912,C0025914,TREATS,Estradiol,House mice,horm,mamm,1,TREATS_HORMtrtsMAMM
C0014912,C0026809,TREATS,Estradiol,Mus,horm,mamm,2,TREATS_HORMtrtsMAMM
C0014939,C0026809,TREATS,Estrogens,Mus,horm,mamm,2,TREATS_HORMtrtsMAMM
C0014939,C0034693,TREATS,Estrogens,Rattus norvegicus,horm,mamm,1,TREATS_HORMtrtsMAMM
C0014939,C3665359,TREATS,Estrogens,Female adult horse (organism),horm,mamm,1,TREATS_HORMtrtsMAMM
C0016280,C0012984,TREATS,Fludrocortisone,Canis familiaris,horm,mamm,2,TREATS_HORMtrtsMAMM
C0016280,C0324306,TREATS,Fludrocortisone,Beagle,horm,mamm,1,TREATS_HORMtrtsMAMM
C0017710,C0007450,TREATS,Glucocorticoids,Felis catus,horm,mamm,1,TREATS_HORMtrtsMAMM
C0017710,C0012984,TREATS,Glucocorticoids,Canis familiaris,horm,mamm,3,TREATS_HORMtrtsMAMM
C0017710,C0026809,TREATS,Glucocorticoids,Mus,horm,mamm,1,TREATS_HORMtrtsMAMM
C0017710,C0034695,TREATS,Glucocorticoids,"Rats, Cotton",horm,mamm,1,TREATS_HORMtrtsMAMM
C0017710,C0036945,TREATS,Glucocorticoids,Sheep,horm,mamm,2,TREATS_HORMtrtsMAMM
C0020268,C0007450,TREATS,Hydrocortisone,Felis catus,horm,mamm,1,TREATS_HORMtrtsMAMM
C0020268,C0007452,TREATS,Hydrocortisone,Cattle,horm,mamm,1,TREATS_HORMtrtsMAMM
C0020268,C0012984,TREATS,Hydrocortisone,Canis familiaris,horm,mamm,6,TREATS_HORMtrtsMAMM
