cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0007450,TREATS,Immunologic Adjuvants,Felis catus,imft,mamm,4,TREATS_IMFTtrtsMAMM
C0001551,C0013127,TREATS,Immunologic Adjuvants,Camelus dromedarius,imft,mamm,1,TREATS_IMFTtrtsMAMM
C0001551,C0024399,TREATS,Immunologic Adjuvants,Macaca fascicularis,imft,mamm,1,TREATS_IMFTtrtsMAMM
C0001551,C0024400,TREATS,Immunologic Adjuvants,Macaca mulatta,imft,mamm,2,TREATS_IMFTtrtsMAMM
C0001551,C0025914,TREATS,Immunologic Adjuvants,House mice,imft,mamm,1,TREATS_IMFTtrtsMAMM
C0001551,C0025919,TREATS,Immunologic Adjuvants,"Mice, Inbred BALB C",imft,mamm,2,TREATS_IMFTtrtsMAMM
C0001551,C0025920,TREATS,Immunologic Adjuvants,"Mice, Inbred C3H",imft,mamm,1,TREATS_IMFTtrtsMAMM
C0001551,C0026809,TREATS,Immunologic Adjuvants,Mus,imft,mamm,26,TREATS_IMFTtrtsMAMM
C0001551,C0033147,TREATS,Immunologic Adjuvants,Primates,imft,mamm,2,TREATS_IMFTtrtsMAMM
C0001551,C0034693,TREATS,Immunologic Adjuvants,Rattus norvegicus,imft,mamm,1,TREATS_IMFTtrtsMAMM
C0001551,C0034700,TREATS,Immunologic Adjuvants,"Rats, Inbred BN",imft,mamm,2,TREATS_IMFTtrtsMAMM
C0001551,C0035804,TREATS,Immunologic Adjuvants,Rodent,imft,mamm,1,TREATS_IMFTtrtsMAMM
C0001551,C0039005,TREATS,Immunologic Adjuvants,Family suidae,imft,mamm,2,TREATS_IMFTtrtsMAMM
C0001551,C0206745,TREATS,Immunologic Adjuvants,"Mice, Knockout",imft,mamm,1,TREATS_IMFTtrtsMAMM
C0001551,C0324536,TREATS,Immunologic Adjuvants,Lewis rat,imft,mamm,1,TREATS_IMFTtrtsMAMM
C0001551,C0324889,TREATS,Immunologic Adjuvants,Old World rabbit,imft,mamm,1,TREATS_IMFTtrtsMAMM
C0001551,C1511362,TREATS,Immunologic Adjuvants,C3H/HeJ Mouse,imft,mamm,1,TREATS_IMFTtrtsMAMM
