cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0024472,C0687735,TREATS,Magnesium Chloride,shaker,inch,humn,1,TREATS_INCHtrtsHUMN
C0024480,C0008059,TREATS,Magnesium Sulfate,Child,inch,humn,1,TREATS_INCHtrtsHUMN
C0024480,C0700061,TREATS,Magnesium Sulfate,Obstetric Patient,inch,humn,1,TREATS_INCHtrtsHUMN
C0038784,C0015576,TREATS,Sulfuric acid,Family,inch,humn,1,TREATS_INCHtrtsHUMN
C0043047,C0009932,TREATS,Water,Control Groups,inch,humn,1,TREATS_INCHtrtsHUMN
C0043047,C0086418,TREATS,Water,Homo sapiens,inch,humn,3,TREATS_INCHtrtsHUMN
C0043047,C0150775,TREATS,Water,Social Networks,inch,humn,1,TREATS_INCHtrtsHUMN
C0043047,C0242821,TREATS,Water,Human body,inch,humn,2,TREATS_INCHtrtsHUMN
C0051522,C0008059,TREATS,aluminum sulfate,Child,inch,humn,1,TREATS_INCHtrtsHUMN
C0051522,C0021270,TREATS,aluminum sulfate,Infant,inch,humn,1,TREATS_INCHtrtsHUMN
C0051522,C0086418,TREATS,aluminum sulfate,Homo sapiens,inch,humn,6,TREATS_INCHtrtsHUMN
C0359299,C0009932,TREATS,sterile water,Control Groups,inch,humn,2,TREATS_INCHtrtsHUMN
C0445115,C0031831,TREATS,Normal saline,Physicians,inch,humn,1,TREATS_INCHtrtsHUMN
C0790233,C0009932,TREATS,Distilled water,Control Groups,inch,humn,1,TREATS_INCHtrtsHUMN
C3536832,C0680681,TREATS,Air,victim,inch,humn,1,TREATS_INCHtrtsHUMN
C3536832,C2348484,TREATS,Air,Exposed Population,inch,humn,1,TREATS_INCHtrtsHUMN
C3536832,C2700280,TREATS,Air,World,inch,humn,1,TREATS_INCHtrtsHUMN
