cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0016327,C0150312,TREATS,Fluorides,Present,inch,qnco,1,TREATS_INCHtrtsQNCO
C0020281,C0150312,TREATS,Hydrogen Peroxide,Present,inch,qnco,1,TREATS_INCHtrtsQNCO
C0032825,C0150312,TREATS,Potassium Chloride,Present,inch,qnco,2,TREATS_INCHtrtsQNCO
C0032838,C0150312,TREATS,Potassium Permanganate,Present,inch,qnco,1,TREATS_INCHtrtsQNCO
C0034320,C0150312,TREATS,Diphosphates,Present,inch,qnco,1,TREATS_INCHtrtsQNCO
C0043047,C0150312,TREATS,Water,Present,inch,qnco,2,TREATS_INCHtrtsQNCO
C0052418,C0150312,TREATS,arsenite,Present,inch,qnco,1,TREATS_INCHtrtsQNCO
C0074719,C0150312,TREATS,sodium arsenite,Present,inch,qnco,1,TREATS_INCHtrtsQNCO
C0896246,C0150312,TREATS,phosphoramidate,Present,inch,qnco,1,TREATS_INCHtrtsQNCO
C3536832,C0150312,TREATS,Air,Present,inch,qnco,1,TREATS_INCHtrtsQNCO
