cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005825,C0012984,TREATS,Continuous Sphygmomanometers,Canis familiaris,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0009653,C0015859,TREATS,"Condoms, Male",Ferrets,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0009653,C0025914,TREATS,"Condoms, Male",House mice,medd,mamm,2,TREATS_MEDDtrtsMAMM
C0009653,C0025936,TREATS,"Condoms, Male","Mice, Transgenic",medd,mamm,3,TREATS_MEDDtrtsMAMM
C0009653,C0026809,TREATS,"Condoms, Male",Mus,medd,mamm,16,TREATS_MEDDtrtsMAMM
C0009653,C0033147,TREATS,"Condoms, Male",Primates,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0009653,C0039005,TREATS,"Condoms, Male",Family suidae,medd,mamm,2,TREATS_MEDDtrtsMAMM
C0009653,C3687524,TREATS,"Condoms, Male",Calf for milk production,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0021102,C0012984,TREATS,Implants,Canis familiaris,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0021102,C0034693,TREATS,Implants,Rattus norvegicus,medd,mamm,3,TREATS_MEDDtrtsMAMM
C0021102,C0034703,TREATS,Implants,"Rats, Inbred F344",medd,mamm,1,TREATS_MEDDtrtsMAMM
C0021461,C0026809,TREATS,Inhaler,Mus,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0032042,C0007450,TREATS,Placebos,Felis catus,medd,mamm,4,TREATS_MEDDtrtsMAMM
C0032042,C0012984,TREATS,Placebos,Canis familiaris,medd,mamm,4,TREATS_MEDDtrtsMAMM
C0032042,C0026809,TREATS,Placebos,Mus,medd,mamm,16,TREATS_MEDDtrtsMAMM
C0038257,C0007450,TREATS,"Stent, device",Felis catus,medd,mamm,4,TREATS_MEDDtrtsMAMM
C0038257,C0012984,TREATS,"Stent, device",Canis familiaris,medd,mamm,7,TREATS_MEDDtrtsMAMM
C0038257,C0324483,TREATS,"Stent, device",Yorkshire terrier,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0039142,C0324889,TREATS,Syringes,Old World rabbit,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0085104,C0026809,TREATS,Drug Delivery Systems,Mus,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0085590,C0012984,TREATS,catheter device,Canis familiaris,medd,mamm,2,TREATS_MEDDtrtsMAMM
C0085590,C0324889,TREATS,catheter device,Old World rabbit,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0150789,C0026179,TREATS,Patient Holding Stretchers,Mink,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0150789,C0039005,TREATS,Patient Holding Stretchers,Family suidae,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0150789,C0939793,TREATS,Patient Holding Stretchers,Female dog,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0175648,C0012984,TREATS,Mats,Canis familiaris,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0175648,C0034693,TREATS,Mats,Rattus norvegicus,medd,mamm,2,TREATS_MEDDtrtsMAMM
C0175722,C0026809,TREATS,Clip,Mus,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0175723,C0007450,TREATS,Bands,Felis catus,medd,mamm,3,TREATS_MEDDtrtsMAMM
C0175723,C0015859,TREATS,Bands,Ferrets,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0175723,C0018557,TREATS,Bands,Hamsters,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0175723,C0026809,TREATS,Bands,Mus,medd,mamm,3,TREATS_MEDDtrtsMAMM
C0175723,C1520150,TREATS,Bands,Wild Type Mouse,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0175730,C0012984,TREATS,biomedical tube device,Canis familiaris,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0175730,C0025914,TREATS,biomedical tube device,House mice,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0178959,C0025914,TREATS,ADAPTER,House mice,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0178959,C1520150,TREATS,ADAPTER,Wild Type Mouse,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0178987,C0012984,TREATS,Artificial Airways,Canis familiaris,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0178987,C0025914,TREATS,Artificial Airways,House mice,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0178987,C0026809,TREATS,Artificial Airways,Mus,medd,mamm,4,TREATS_MEDDtrtsMAMM
C0178987,C1511362,TREATS,Artificial Airways,C3H/HeJ Mouse,medd,mamm,1,TREATS_MEDDtrtsMAMM
C0179031,C0012984,TREATS,Ampule,Canis familiaris,medd,mamm,1,TREATS_MEDDtrtsMAMM
