cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005971,C0343079,TREATS,Bone plates,"Milia, Multiple Eruptive",medd,neop,3,TREATS_MEDDtrtsNEOP
C0009653,C0006826,TREATS,"Condoms, Male",Malignant Neoplasms,medd,neop,1,TREATS_MEDDtrtsNEOP
C0009653,C0206655,TREATS,"Condoms, Male",Alveolar rhabdomyosarcoma,medd,neop,1,TREATS_MEDDtrtsNEOP
C0024861,C0206655,TREATS,Masks,Alveolar rhabdomyosarcoma,medd,neop,1,TREATS_MEDDtrtsNEOP
C0032042,C1706732,TREATS,Placebos,Advanced Adult Hepatocellular Carcinoma,medd,neop,1,TREATS_MEDDtrtsNEOP
C0038257,C0677932,TREATS,"Stent, device",Progressive Neoplastic Disease,medd,neop,1,TREATS_MEDDtrtsNEOP
C0042497,C0206655,TREATS,Mechanical Ventilator,Alveolar rhabdomyosarcoma,medd,neop,1,TREATS_MEDDtrtsNEOP
C0085104,C0006826,TREATS,Drug Delivery Systems,Malignant Neoplasms,medd,neop,1,TREATS_MEDDtrtsNEOP
C0085104,C0023418,TREATS,Drug Delivery Systems,leukemia,medd,neop,1,TREATS_MEDDtrtsNEOP
C0085104,C0205770,TREATS,Drug Delivery Systems,Choroid Plexus Papilloma,medd,neop,1,TREATS_MEDDtrtsNEOP
C0085104,C0280100,TREATS,Drug Delivery Systems,Solid Neoplasm,medd,neop,1,TREATS_MEDDtrtsNEOP
C0085104,C1328504,TREATS,Drug Delivery Systems,Hormone refractory prostate cancer,medd,neop,1,TREATS_MEDDtrtsNEOP
C0085104,C1706732,TREATS,Drug Delivery Systems,Advanced Adult Hepatocellular Carcinoma,medd,neop,1,TREATS_MEDDtrtsNEOP
C0085590,C0006118,TREATS,catheter device,Brain Neoplasms,medd,neop,1,TREATS_MEDDtrtsNEOP
C0179245,C0343079,TREATS,water baths,"Milia, Multiple Eruptive",medd,neop,1,TREATS_MEDDtrtsNEOP
C0179302,C0006826,TREATS,"Binder, device",Malignant Neoplasms,medd,neop,1,TREATS_MEDDtrtsNEOP
C0180454,C0343079,TREATS,Culture plate,"Milia, Multiple Eruptive",medd,neop,1,TREATS_MEDDtrtsNEOP
C0180463,C0343079,TREATS,Dispenser,"Milia, Multiple Eruptive",medd,neop,1,TREATS_MEDDtrtsNEOP
C0180694,C2314896,TREATS,Bovie,Familial Atypical Mole Melanoma Syndrome,medd,neop,1,TREATS_MEDDtrtsNEOP
C0181687,C0023804,TREATS,loops,"Lipomatosis, Multiple Symmetrical",medd,neop,1,TREATS_MEDDtrtsNEOP
C0182400,C0006826,TREATS,Probes,Malignant Neoplasms,medd,neop,1,TREATS_MEDDtrtsNEOP
C0182400,C0007131,TREATS,Probes,Non-Small Cell Lung Carcinoma,medd,neop,1,TREATS_MEDDtrtsNEOP
C0182400,C0025268,TREATS,Probes,Multiple Endocrine Neoplasia Type 2a,medd,neop,1,TREATS_MEDDtrtsNEOP
C0182400,C0027651,TREATS,Probes,Neoplasms,medd,neop,1,TREATS_MEDDtrtsNEOP
C0182953,C0006826,TREATS,Regulators (device),Malignant Neoplasms,medd,neop,2,TREATS_MEDDtrtsNEOP
C0182953,C0278512,TREATS,Regulators (device),Metastatic osteosarcoma,medd,neop,1,TREATS_MEDDtrtsNEOP
C0182953,C0678222,TREATS,Regulators (device),Breast Carcinoma,medd,neop,1,TREATS_MEDDtrtsNEOP
C0879240,C0343079,TREATS,Nasal Swabs,"Milia, Multiple Eruptive",medd,neop,1,TREATS_MEDDtrtsNEOP
C1139930,C0343079,TREATS,Device Plate,"Milia, Multiple Eruptive",medd,neop,1,TREATS_MEDDtrtsNEOP
C1706912,C0006826,TREATS,BARRIER,Malignant Neoplasms,medd,neop,2,TREATS_MEDDtrtsNEOP
C1706912,C0027651,TREATS,BARRIER,Neoplasms,medd,neop,1,TREATS_MEDDtrtsNEOP
C3495449,C0027651,TREATS,Mobility aid,Neoplasms,medd,neop,2,TREATS_MEDDtrtsNEOP
C3878837,C0343079,TREATS,"Petri dish, tissue culture","Milia, Multiple Eruptive",medd,neop,1,TREATS_MEDDtrtsNEOP
