cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001275,C0032343,TREATS,Activated Charcoal,Poisoning,orch,inpo,1,TREATS_ORCHtrtsINPO
C0003968,C0273115,TREATS,Ascorbic Acid,Lung Injury,orch,inpo,2,TREATS_ORCHtrtsINPO
C0004057,C0685898,TREATS,Aspirin,Food anaphylaxis,orch,inpo,1,TREATS_ORCHtrtsINPO
C0005064,C0456824,TREATS,Benzodiazepines,Acute drug intoxication,orch,inpo,1,TREATS_ORCHtrtsINPO
C0005117,C0018805,TREATS,Berberine,Heart Injuries,orch,inpo,1,TREATS_ORCHtrtsINPO
C0005117,C0746730,TREATS,Berberine,myocardial injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0008269,C0600688,TREATS,Chloroquine,Toxic effect,orch,inpo,1,TREATS_ORCHtrtsINPO
C0010976,C0037929,TREATS,Dantrolene,Spinal Cord Injuries,orch,inpo,2,TREATS_ORCHtrtsINPO
C0010976,C0878589,TREATS,Dantrolene,acute spinal cord injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0015688,C0600688,TREATS,Nonesterified Fatty Acids,Toxic effect,orch,inpo,1,TREATS_ORCHtrtsINPO
C0019139,C0006434,TREATS,"Heparin, Low-Molecular-Weight",Burn injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0020336,C0600688,TREATS,Hydroxychloroquine,Toxic effect,orch,inpo,1,TREATS_ORCHtrtsINPO
C0022625,C0600688,TREATS,Ketoconazole,Toxic effect,orch,inpo,1,TREATS_ORCHtrtsINPO
C0022642,C0010957,TREATS,Ketotifen,Tissue damage,orch,inpo,1,TREATS_ORCHtrtsINPO
C0023810,C0273115,TREATS,Lipopolysaccharides,Lung Injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0023810,C0282507,TREATS,Lipopolysaccharides,Heat Stress Disorders,orch,inpo,1,TREATS_ORCHtrtsINPO
C0023810,C0876926,TREATS,Lipopolysaccharides,Traumatic Brain Injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0023828,C0273115,TREATS,Liposomes,Lung Injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0024027,C0161479,TREATS,Lovastatin,Nerve injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0024730,C0876926,TREATS,Mannitol,Traumatic Brain Injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0025677,C0273115,TREATS,Methotrexate,Lung Injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0032594,C0080194,TREATS,Polysaccharides,Muscle strain,orch,inpo,1,TREATS_ORCHtrtsINPO
C0032594,C0560617,TREATS,Polysaccharides,knocked out,orch,inpo,1,TREATS_ORCHtrtsINPO
C0033228,C0035126,TREATS,Fenofibrate,Reperfusion Injury,orch,inpo,3,TREATS_ORCHtrtsINPO
C0033228,C0242488,TREATS,Fenofibrate,Acute Lung Injury,orch,inpo,3,TREATS_ORCHtrtsINPO
C0035976,C0599918,TREATS,Rutin,nephrotoxicity,orch,inpo,1,TREATS_ORCHtrtsINPO
C0039925,C0876926,TREATS,Thiopental,Traumatic Brain Injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0051561,C0010957,TREATS,amentoflavone,Tissue damage,orch,inpo,1,TREATS_ORCHtrtsINPO
C0059438,C0600688,TREATS,epigallocatechin gallate,Toxic effect,orch,inpo,2,TREATS_ORCHtrtsINPO
C0060657,C0273115,TREATS,formoterol,Lung Injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0061751,C0006434,TREATS,Glycyrrhizic Acid,Burn injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0061751,C0270611,TREATS,Glycyrrhizic Acid,Brain Injuries,orch,inpo,1,TREATS_ORCHtrtsINPO
C0061751,C0746730,TREATS,Glycyrrhizic Acid,myocardial injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0063517,C0238452,TREATS,indopan,Thallium poisoning,orch,inpo,1,TREATS_ORCHtrtsINPO
C0065067,C0010957,TREATS,lipoteichoic acid,Tissue damage,orch,inpo,1,TREATS_ORCHtrtsINPO
C0066776,C0600688,TREATS,monophosphoryl lipid A,Toxic effect,orch,inpo,1,TREATS_ORCHtrtsINPO
C0067068,C0746730,TREATS,myricitrin,myocardial injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0073379,C0010957,TREATS,Riluzole,Tissue damage,orch,inpo,1,TREATS_ORCHtrtsINPO
C0073379,C0037929,TREATS,Riluzole,Spinal Cord Injuries,orch,inpo,2,TREATS_ORCHtrtsINPO
C0074992,C0417713,TREATS,sphingosine 1-phosphate,Cat bite,orch,inpo,1,TREATS_ORCHtrtsINPO
C0075209,C0600688,TREATS,STEARAMINE,Toxic effect,orch,inpo,1,TREATS_ORCHtrtsINPO
C0075857,C0242488,TREATS,tauroursodeoxycholic acid,Acute Lung Injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0087163,C0032343,TREATS,Levocarnitine,Poisoning,orch,inpo,1,TREATS_ORCHtrtsINPO
C0087163,C0600688,TREATS,Levocarnitine,Toxic effect,orch,inpo,1,TREATS_ORCHtrtsINPO
C0123931,C0600688,TREATS,irinotecan,Toxic effect,orch,inpo,1,TREATS_ORCHtrtsINPO
C0126174,C0242488,TREATS,Losartan,Acute Lung Injury,orch,inpo,3,TREATS_ORCHtrtsINPO
C0126174,C0273115,TREATS,Losartan,Lung Injury,orch,inpo,3,TREATS_ORCHtrtsINPO
C0206460,C0006434,TREATS,Enoxaparin,Burn injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0289313,C0037929,TREATS,rosiglitazone,Spinal Cord Injuries,orch,inpo,1,TREATS_ORCHtrtsINPO
C0289313,C0160420,TREATS,rosiglitazone,Injury of kidney,orch,inpo,1,TREATS_ORCHtrtsINPO
C0360714,C0242488,TREATS,Hydroxymethylglutaryl-CoA Reductase Inhibitors,Acute Lung Injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0376637,C0028798,TREATS,Indinavir,Occupational Exposure,orch,inpo,2,TREATS_ORCHtrtsINPO
C0596577,C0600688,TREATS,Flavonoids,Toxic effect,orch,inpo,1,TREATS_ORCHtrtsINPO
C0637815,C0235378,TREATS,eckol,Hepatotoxicity,orch,inpo,1,TREATS_ORCHtrtsINPO
C0658374,C0242488,TREATS,"5,7-dihydroxy-6-methoxy-2-phenylchromen-4-one",Acute Lung Injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C0874161,C0080194,TREATS,Oseltamivir,Muscle strain,orch,inpo,1,TREATS_ORCHtrtsINPO
C0935989,C0041755,TREATS,imatinib,Adverse reaction to drug,orch,inpo,1,TREATS_ORCHtrtsINPO
C1257954,C0242488,TREATS,Cyclooxygenase 2 Inhibitors,Acute Lung Injury,orch,inpo,1,TREATS_ORCHtrtsINPO
C2926735,C0332803,TREATS,Duration,Surgical wound,orch,inpo,1,TREATS_ORCHtrtsINPO
