cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001962,C0042776,TREATS,Ethanol,Virus,orch,virs,1,TREATS_ORCHtrtsVIRS
C0002403,C0029341,TREATS,Amantadine,Orthomyxoviridae,orch,virs,1,TREATS_ORCHtrtsVIRS
C0002403,C0029347,TREATS,Amantadine,Influenza A virus,orch,virs,2,TREATS_ORCHtrtsVIRS
C0002403,C0029348,TREATS,Amantadine,Influenza B virus,orch,virs,1,TREATS_ORCHtrtsVIRS
C0002403,C0042776,TREATS,Amantadine,Virus,orch,virs,1,TREATS_ORCHtrtsVIRS
C0002403,C1615053,TREATS,Amantadine,"Influenza A Virus, H3N2 Subtype",orch,virs,1,TREATS_ORCHtrtsVIRS
C0002502,C0206435,TREATS,Amiloride,Human poliovirus,orch,virs,2,TREATS_ORCHtrtsVIRS
C0004320,C0019682,TREATS,Auranofin,HIV,orch,virs,1,TREATS_ORCHtrtsVIRS
C0004334,C0318793,TREATS,Aurintricarboxylic Acid,Zika Virus,orch,virs,1,TREATS_ORCHtrtsVIRS
C0005050,C0206545,TREATS,Benzimidazoles,Human respiratory syncytial virus,orch,virs,1,TREATS_ORCHtrtsVIRS
C0005117,C0318793,TREATS,Berberine,Zika Virus,orch,virs,1,TREATS_ORCHtrtsVIRS
C0005575,C0004422,TREATS,Biotin,Avian leukosis virus,orch,virs,2,TREATS_ORCHtrtsVIRS
C0007068,C0019351,TREATS,Carboxymethylcellulose,Human Herpesvirus 2,orch,virs,1,TREATS_ORCHtrtsVIRS
C0007068,C0206558,TREATS,Carboxymethylcellulose,Simplexvirus,orch,virs,1,TREATS_ORCHtrtsVIRS
C0008269,C0015763,TREATS,Chloroquine,"Calicivirus, Feline",orch,virs,1,TREATS_ORCHtrtsVIRS
C0008269,C0019682,TREATS,Chloroquine,HIV,orch,virs,1,TREATS_ORCHtrtsVIRS
C0008269,C0019704,TREATS,Chloroquine,HIV-1,orch,virs,1,TREATS_ORCHtrtsVIRS
C0008269,C0029343,TREATS,Chloroquine,"Influenza A Virus, Avian",orch,virs,3,TREATS_ORCHtrtsVIRS
C0008269,C0042776,TREATS,Chloroquine,Virus,orch,virs,4,TREATS_ORCHtrtsVIRS
C0008269,C0085150,TREATS,Chloroquine,Filoviridae,orch,virs,1,TREATS_ORCHtrtsVIRS
C0008269,C0949892,TREATS,Chloroquine,Ebolavirus,orch,virs,1,TREATS_ORCHtrtsVIRS
C0008286,C0008056,TREATS,Chlorpromazine,Chikungunya virus,orch,virs,1,TREATS_ORCHtrtsVIRS
C0008286,C0032092,TREATS,Chlorpromazine,Plant Viruses,orch,virs,1,TREATS_ORCHtrtsVIRS
C0008286,C0318855,TREATS,Chlorpromazine,Porcine epidemic diarrhea virus,orch,virs,1,TREATS_ORCHtrtsVIRS
C0008409,C0318855,TREATS,Choline Chloride,Porcine epidemic diarrhea virus,orch,virs,1,TREATS_ORCHtrtsVIRS
