cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003209,C0004611,TREATS,Anti-Inflammatory Agents,Bacteria,phsu,bact,1,TREATS_PHSUtrtsBACT
C0003402,C1444090,TREATS,Antioxidants,Resistant bacteria,phsu,bact,1,TREATS_PHSUtrtsBACT
C0008318,C0004587,TREATS,Cholecalciferol,Bacillus <bacterium>,phsu,bact,1,TREATS_PHSUtrtsBACT
C0021081,C4277510,TREATS,Immunosuppressive Agents,Extraintestinal Pathogenic Escherichia coli,phsu,bact,1,TREATS_PHSUtrtsBACT
C0032911,C0022938,TREATS,Praziquantel,Lactobacillus,phsu,bact,1,TREATS_PHSUtrtsBACT
C0035525,C0004611,TREATS,Ribavirin,Bacteria,phsu,bact,1,TREATS_PHSUtrtsBACT
C0035525,C0014834,TREATS,Ribavirin,Escherichia coli,phsu,bact,1,TREATS_PHSUtrtsBACT
C0051821,C0026926,TREATS,andrographolide,Mycobacterium tuberculosis,phsu,bact,1,TREATS_PHSUtrtsBACT
C0062096,C0033477,TREATS,halofuginone lactate,Propionibacterium acnes,phsu,bact,2,TREATS_PHSUtrtsBACT
C0073374,C0014834,TREATS,rifaximin,Escherichia coli,phsu,bact,1,TREATS_PHSUtrtsBACT
C0084844,C0043408,TREATS,trestolone,Yersinia pestis,phsu,bact,1,TREATS_PHSUtrtsBACT
C0085998,C0014834,TREATS,"Toxins, Chimeric",Escherichia coli,phsu,bact,1,TREATS_PHSUtrtsBACT
C0212021,C0022938,TREATS,milbemycin oxime,Lactobacillus,phsu,bact,1,TREATS_PHSUtrtsBACT
C0304462,C0004611,TREATS,Urinary acidifier,Bacteria,phsu,bact,1,TREATS_PHSUtrtsBACT
C0598447,C0004611,TREATS,fluorophore,Bacteria,phsu,bact,1,TREATS_PHSUtrtsBACT
C0663241,C1265292,TREATS,linezolid,Methicillin-Resistant Staphylococcus aureus,phsu,bact,1,TREATS_PHSUtrtsBACT
C0663241,C1319192,TREATS,linezolid,Vancomycin resistant Staphylococcus aureus,phsu,bact,1,TREATS_PHSUtrtsBACT
C0718566,C0004611,TREATS,Anti-Fungal,Bacteria,phsu,bact,1,TREATS_PHSUtrtsBACT
C1136254,C0004611,TREATS,Microbicides,Bacteria,phsu,bact,2,TREATS_PHSUtrtsBACT
C1136254,C0014834,TREATS,Microbicides,Escherichia coli,phsu,bact,4,TREATS_PHSUtrtsBACT
C1136254,C0038410,TREATS,Microbicides,Streptococcus pneumoniae,phsu,bact,1,TREATS_PHSUtrtsBACT
C1136254,C0580797,TREATS,Microbicides,Enterotoxigenic Escherichia coli,phsu,bact,1,TREATS_PHSUtrtsBACT
C1136254,C1444090,TREATS,Microbicides,Resistant bacteria,phsu,bact,1,TREATS_PHSUtrtsBACT
C1136254,C1531953,TREATS,Microbicides,Fastidious bacterium,phsu,bact,1,TREATS_PHSUtrtsBACT
C1569170,C0004611,TREATS,polyvalent mechanical bacterial lysate,Bacteria,phsu,bact,1,TREATS_PHSUtrtsBACT
C1874451,C0599752,TREATS,Basis,intestinal bacteria,phsu,bact,1,TREATS_PHSUtrtsBACT
C3205287,C0004611,TREATS,Terminator,Bacteria,phsu,bact,1,TREATS_PHSUtrtsBACT
C3539125,C0004611,TREATS,other medicated shampoos in ATC,Bacteria,phsu,bact,2,TREATS_PHSUtrtsBACT
C3539125,C0014834,TREATS,other medicated shampoos in ATC,Escherichia coli,phsu,bact,5,TREATS_PHSUtrtsBACT
C3539957,C0004611,TREATS,opium alkaloids and derivative combination cough suppressants,Bacteria,phsu,bact,1,TREATS_PHSUtrtsBACT
C4521445,C0580797,TREATS,Plasma Product,Enterotoxigenic Escherichia coli,phsu,bact,1,TREATS_PHSUtrtsBACT
C4524580,C0004611,TREATS,Single Donor Plasma,Bacteria,phsu,bact,1,TREATS_PHSUtrtsBACT
