cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006233,C0033770,TREATS,Bromodeoxyuridine,Prune Belly Syndrome,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C0032414,C0033770,TREATS,Poly I-C,Prune Belly Syndrome,phsu,cgab,5,TREATS_PHSUtrtsCGAB
C0035525,C0033770,TREATS,Ribavirin,Prune Belly Syndrome,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C0062907,C0033770,TREATS,HOE 33342,Prune Belly Syndrome,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C0073080,C0033770,TREATS,resazurin,Prune Belly Syndrome,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C0077608,C0028326,TREATS,U 18666A,Noonan Syndrome,phsu,cgab,2,TREATS_PHSUtrtsCGAB
C0077854,C0027341,TREATS,uranyl acetate,Nail-Patella Syndrome,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C0600190,C0033770,TREATS,Nitrocellulose,Prune Belly Syndrome,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C0724672,C0033770,TREATS,POLYETHYLENE GLYCOL 3350,Prune Belly Syndrome,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C0914671,C0033770,TREATS,CPG-ODN,Prune Belly Syndrome,phsu,cgab,2,TREATS_PHSUtrtsCGAB
C1514555,C0033770,TREATS,Protein Kinase C Inhibitor,Prune Belly Syndrome,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C1516312,C0406775,TREATS,Caspase Inhibitors,Symmetrical dyschromatosis of extremities,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C1718097,C0027794,TREATS,New medications,Neural Tube Defects,phsu,cgab,2,TREATS_PHSUtrtsCGAB
C2347168,C0033770,TREATS,Mitogen-Activated Protein Kinase Kinase Inhibitor,Prune Belly Syndrome,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C2987634,C0033770,TREATS,Agonist,Prune Belly Syndrome,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C3191785,C0033770,TREATS,Triton X Solution,Prune Belly Syndrome,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C3256468,C0033770,TREATS,citrate buffer,Prune Belly Syndrome,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C3539125,C0175754,TREATS,other medicated shampoos in ATC,Agenesis of corpus callosum,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C3539957,C0033770,TREATS,opium alkaloids and derivative combination cough suppressants,Prune Belly Syndrome,phsu,cgab,1,TREATS_PHSUtrtsCGAB
C4330852,C0033770,TREATS,Oligomeric Procyanidin Complex,Prune Belly Syndrome,phsu,cgab,3,TREATS_PHSUtrtsCGAB
