cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004561,C0003250,USES,B-Lymphocytes,Monoclonal Antibodies,cell,aapp,1,USES_CELLusesAAPP
C0004561,C0035679,USES,B-Lymphocytes,RNA Polymerase II,cell,aapp,1,USES_CELLusesAAPP
C0007600,C0003242,USES,Cultured Cell Line,"Antibodies, Anti-Idiotypic",cell,aapp,1,USES_CELLusesAAPP
C0007600,C0358321,USES,Cultured Cell Line,Immune Globulin (Human),cell,aapp,1,USES_CELLusesAAPP
C0014597,C0041348,USES,Epithelial Cells,Tubulin,cell,aapp,1,USES_CELLusesAAPP
C0018873,C0003241,USES,HeLa Cells,Antibodies,cell,aapp,2,USES_CELLusesAAPP
C0018873,C0003242,USES,HeLa Cells,"Antibodies, Anti-Idiotypic",cell,aapp,1,USES_CELLusesAAPP
C0018873,C0120285,USES,HeLa Cells,Green Fluorescent Proteins,cell,aapp,1,USES_CELLusesAAPP
C0018873,C0358321,USES,HeLa Cells,Immune Globulin (Human),cell,aapp,1,USES_CELLusesAAPP
C0018873,C1414968,USES,HeLa Cells,GAPDH gene,cell,aapp,1,USES_CELLusesAAPP
C0039194,C0003241,USES,T-Lymphocyte,Antibodies,cell,aapp,1,USES_CELLusesAAPP
C0039194,C0003242,USES,T-Lymphocyte,"Antibodies, Anti-Idiotypic",cell,aapp,1,USES_CELLusesAAPP
C0039194,C4255077,USES,T-Lymphocyte,Carbonic Anhydrase IX,cell,aapp,1,USES_CELLusesAAPP
C0042542,C0003250,USES,Vero Cells,Monoclonal Antibodies,cell,aapp,2,USES_CELLusesAAPP
C0042542,C0359168,USES,Vero Cells,Mouse monoclonal antibody,cell,aapp,1,USES_CELLusesAAPP
C0085080,C0041236,USES,Chinese Hamster Ovary Cell,TRYPSIN,cell,aapp,1,USES_CELLusesAAPP
C0085087,C1979003,USES,3T3 Cells,Rabbit Ab,cell,aapp,1,USES_CELLusesAAPP
C0221284,C1447045,USES,Leptocyte,"EGR1 protein, human",cell,aapp,1,USES_CELLusesAAPP
C0242629,C0021756,USES,CD8-Positive T-Lymphocytes,Interleukin-2,cell,aapp,1,USES_CELLusesAAPP
C0524983,C0070948,USES,Gastrin-Secreting Cells,Phosphotyrosine,cell,aapp,1,USES_CELLusesAAPP
C0882849,C1421318,USES,Cell positive for CD34 antigen,SCGB1A1 gene,cell,aapp,1,USES_CELLusesAAPP
C0882849,C1442758,USES,Cell positive for CD34 antigen,SFTPC gene,cell,aapp,1,USES_CELLusesAAPP
C0947286,C0003241,USES,Cell positive for CD14 antigen,Antibodies,cell,aapp,1,USES_CELLusesAAPP
C1183428,C4083144,USES,Solocyte,"X-Box Binding Protein 1, Human",cell,aapp,1,USES_CELLusesAAPP
C1253961,C0003241,USES,Colligocyte,Antibodies,cell,aapp,1,USES_CELLusesAAPP
C1441322,C1624602,USES,Viable cells,Anti-Antibodies,cell,aapp,2,USES_CELLusesAAPP
C1516469,C0041236,USES,Chicken Cells,TRYPSIN,cell,aapp,1,USES_CELLusesAAPP
C1519221,C0003250,USES,Secretory cell,Monoclonal Antibodies,cell,aapp,1,USES_CELLusesAAPP
C2936239,C0001271,USES,HEK293 Cells,Actins,cell,aapp,1,USES_CELLusesAAPP
C2936239,C0024075,USES,HEK293 Cells,Luciferases,cell,aapp,1,USES_CELLusesAAPP
C2936239,C1624602,USES,HEK293 Cells,Anti-Antibodies,cell,aapp,1,USES_CELLusesAAPP
C3494245,C0250400,USES,Sf9 Cells,occludin,cell,aapp,1,USES_CELLusesAAPP
C4277577,C0003242,USES,A549 Cells,"Antibodies, Anti-Idiotypic",cell,aapp,1,USES_CELLusesAAPP
C4505192,C0021758,USES,THP-1 Cells,Interleukin-4,cell,aapp,1,USES_CELLusesAAPP
