cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0013164,C0030946,USES,Drug Compounding,Endopeptidases,hlca,aapp,1,USES_HLCAusesAAPP
C0013194,C0036002,USES,Drug Packaging,S-Adenosylmethionine,hlca,aapp,1,USES_HLCAusesAAPP
C0013194,C0772088,USES,Drug Packaging,"glucagon, human",hlca,aapp,1,USES_HLCAusesAAPP
C0017313,C0012020,USES,patient care,Diazooxonorleucine,hlca,aapp,1,USES_HLCAusesAAPP
C0018747,C1826466,USES,Health Services,NPNT gene,hlca,aapp,1,USES_HLCAusesAAPP
C0018749,C0672596,USES,Health Services Administration,palivizumab,hlca,aapp,1,USES_HLCAusesAAPP
C0023977,C0103306,USES,long-term care,angiotensin I (1-7),hlca,aapp,1,USES_HLCAusesAAPP
C0030685,C0002199,USES,Patient Discharge,Interferon-alpha,hlca,aapp,1,USES_HLCAusesAAPP
C0030685,C0002520,USES,Patient Discharge,Amino Acids,hlca,aapp,1,USES_HLCAusesAAPP
C0030685,C0003779,USES,Patient Discharge,Argipressin,hlca,aapp,7,USES_HLCAusesAAPP
C0030685,C0014822,USES,Patient Discharge,Erythropoietin,hlca,aapp,1,USES_HLCAusesAAPP
C0030685,C0015980,USES,Patient Discharge,Interferon-beta,hlca,aapp,2,USES_HLCAusesAAPP
C0030685,C0017687,USES,Patient Discharge,Glucagon,hlca,aapp,1,USES_HLCAusesAAPP
C0030685,C0021641,USES,Patient Discharge,Insulin,hlca,aapp,13,USES_HLCAusesAAPP
C0030685,C0021740,USES,Patient Discharge,Recombinant Interferon-gamma,hlca,aapp,6,USES_HLCAusesAAPP
C0030685,C0021747,USES,Patient Discharge,Interferons,hlca,aapp,2,USES_HLCAusesAAPP
C0030685,C0030095,USES,Patient Discharge,Oxytocin,hlca,aapp,2,USES_HLCAusesAAPP
C0030685,C0030946,USES,Patient Discharge,Endopeptidases,hlca,aapp,4,USES_HLCAusesAAPP
C0030685,C0042413,USES,Patient Discharge,Vasopressins,hlca,aapp,1,USES_HLCAusesAAPP
C0030685,C0052897,USES,Patient Discharge,bactericidal permeability increasing protein,hlca,aapp,1,USES_HLCAusesAAPP
C0030685,C0123759,USES,Patient Discharge,Interleukin-12,hlca,aapp,4,USES_HLCAusesAAPP
C0030685,C0540511,USES,Patient Discharge,Angiopoietin-2,hlca,aapp,1,USES_HLCAusesAAPP
C0030685,C0795657,USES,Patient Discharge,"alpha 1-proteinase inhibitor, human",hlca,aapp,1,USES_HLCAusesAAPP
C0030685,C1562292,USES,Patient Discharge,Incretins,hlca,aapp,1,USES_HLCAusesAAPP
C0030685,C4084937,USES,Patient Discharge,Antimicrobial Peptide,hlca,aapp,2,USES_HLCAusesAAPP
C0037793,C0178827,USES,Specimen processing (procedure),replicase,hlca,aapp,1,USES_HLCAusesAAPP
C0037793,C1704743,USES,Specimen processing (procedure),BRCA1 wt Allele,hlca,aapp,2,USES_HLCAusesAAPP
C0220908,C0020960,USES,Screening procedure,Immune Sera,hlca,aapp,2,USES_HLCAusesAAPP
C0220908,C0036002,USES,Screening procedure,S-Adenosylmethionine,hlca,aapp,1,USES_HLCAusesAAPP
C0220908,C0305052,USES,Screening procedure,Gamma globulin serum,hlca,aapp,2,USES_HLCAusesAAPP
C0220908,C0597357,USES,Screening procedure,receptor,hlca,aapp,1,USES_HLCAusesAAPP
C0220908,C1527233,USES,Screening procedure,Recombinant Immune Globulin,hlca,aapp,1,USES_HLCAusesAAPP
C0262500,C0002520,USES,Health maintenance,Amino Acids,hlca,aapp,1,USES_HLCAusesAAPP
C0441587,C0002520,USES,Clinical act of insertion,Amino Acids,hlca,aapp,16,USES_HLCAusesAAPP
C0441587,C0009325,USES,Clinical act of insertion,Collagen,hlca,aapp,1,USES_HLCAusesAAPP
C0441587,C0024337,USES,Clinical act of insertion,Lysine,hlca,aapp,1,USES_HLCAusesAAPP
C0441587,C0032143,USES,Clinical act of insertion,alteplase,hlca,aapp,1,USES_HLCAusesAAPP
C0441640,C0010592,USES,Tapering - action,Cyclosporine,hlca,aapp,3,USES_HLCAusesAAPP
C0444793,C0002520,USES,Position change,Amino Acids,hlca,aapp,2,USES_HLCAusesAAPP
C0558024,C0002520,USES,Functional behavioral assessment,Amino Acids,hlca,aapp,1,USES_HLCAusesAAPP
C0805586,C0308550,USES,Challenge,BRSV,hlca,aapp,1,USES_HLCAusesAAPP
C1261322,C0020852,USES,Evaluation procedure,Immunoglobulin G,hlca,aapp,1,USES_HLCAusesAAPP
C1293116,C0034790,USES,Introduction procedure,T-Cell Receptor,hlca,aapp,1,USES_HLCAusesAAPP
C1293116,C0062154,USES,Introduction procedure,hemagglutinin esterase,hlca,aapp,1,USES_HLCAusesAAPP
C1293116,C0077678,USES,Introduction procedure,ubiquitin-protein ligase,hlca,aapp,1,USES_HLCAusesAAPP
C1293116,C0597418,USES,Introduction procedure,Rotavirus Vaccines,hlca,aapp,2,USES_HLCAusesAAPP
C1293116,C1414356,USES,Introduction procedure,EIF4G1 gene,hlca,aapp,1,USES_HLCAusesAAPP
C1293116,C1417925,USES,Introduction procedure,OCA2 gene,hlca,aapp,1,USES_HLCAusesAAPP
C1293116,C1419208,USES,Introduction procedure,RAB3D gene,hlca,aapp,1,USES_HLCAusesAAPP
C1293116,C1420086,USES,Introduction procedure,SLC10A1 gene,hlca,aapp,1,USES_HLCAusesAAPP
C1293116,C1425082,USES,Introduction procedure,SAV1 gene,hlca,aapp,2,USES_HLCAusesAAPP
C1293116,C1708130,USES,Introduction procedure,GNAI1 wt Allele,hlca,aapp,1,USES_HLCAusesAAPP
C1293116,C3811720,USES,Introduction procedure,MIR22 wt Allele,hlca,aapp,1,USES_HLCAusesAAPP
C1514918,C0024337,USES,Retrieval,Lysine,hlca,aapp,1,USES_HLCAusesAAPP
C1514918,C0030946,USES,Retrieval,Endopeptidases,hlca,aapp,1,USES_HLCAusesAAPP
C1514918,C0041485,USES,Retrieval,Tyrosine,hlca,aapp,1,USES_HLCAusesAAPP
C1514918,C0795657,USES,Retrieval,"alpha 1-proteinase inhibitor, human",hlca,aapp,1,USES_HLCAusesAAPP
C2718016,C3883896,USES,Compassionate Use,ZMapp,hlca,aapp,1,USES_HLCAusesAAPP
C4036459,C0002520,USES,Contacts,Amino Acids,hlca,aapp,2,USES_HLCAusesAAPP
