cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007584,C0010711,USES,Cell Count,Cytarabine,lbpr,hops,1,USES_LBPRusesHOPS
C0007584,C0016564,USES,Cell Count,Formaldehyde,lbpr,hops,7,USES_LBPRusesHOPS
C0007584,C0028017,USES,Cell Count,Niclosamide,lbpr,hops,2,USES_LBPRusesHOPS
C0007584,C0039654,USES,Cell Count,Tetradecanoylphorbol Acetate,lbpr,hops,10,USES_LBPRusesHOPS
C0007584,C0949307,USES,Cell Count,Formalin,lbpr,hops,3,USES_LBPRusesHOPS
C0007703,C0008238,USES,Centrifugation,Chloroform,lbpr,hops,2,USES_LBPRusesHOPS
C0008562,C0069299,USES,High pressure liquid chromatography procedure,ochratoxin A,lbpr,hops,1,USES_LBPRusesHOPS
C0013856,C0016564,USES,"Electrophoresis, Agar Gel",Formaldehyde,lbpr,hops,5,USES_LBPRusesHOPS
C0019637,C0949307,USES,Histological Techniques,Formalin,lbpr,hops,3,USES_LBPRusesHOPS
C0021044,C0016564,USES,Immunohistochemistry,Formaldehyde,lbpr,hops,1,USES_LBPRusesHOPS
C0022885,C0011892,USES,Laboratory Procedures,Heroin,lbpr,hops,1,USES_LBPRusesHOPS
C0037805,C0048581,USES,Spectrophotometry,4-nitrophenol,lbpr,hops,1,USES_LBPRusesHOPS
C0085184,C0949307,USES,Tissue Embedding,Formalin,lbpr,hops,1,USES_LBPRusesHOPS
C0085254,C0949307,USES,Tissue Fixation,Formalin,lbpr,hops,1,USES_LBPRusesHOPS
C0162621,C0949307,USES,Titration Method,Formalin,lbpr,hops,2,USES_LBPRusesHOPS
C0200760,C0949307,USES,Morphometric analysis,Formalin,lbpr,hops,2,USES_LBPRusesHOPS
C0200953,C0949307,USES,Mycobacteria culture,Formalin,lbpr,hops,1,USES_LBPRusesHOPS
C1510438,C0016564,USES,Assay,Formaldehyde,lbpr,hops,1,USES_LBPRusesHOPS
C1510438,C0034303,USES,Assay,Pyrogallol,lbpr,hops,1,USES_LBPRusesHOPS
C1510438,C0065555,USES,Assay,Malachite green,lbpr,hops,1,USES_LBPRusesHOPS
C1510438,C0065839,USES,Assay,mecarzole,lbpr,hops,7,USES_LBPRusesHOPS
C1522662,C0016564,USES,sample fixation,Formaldehyde,lbpr,hops,3,USES_LBPRusesHOPS
C1522662,C0949307,USES,sample fixation,Formalin,lbpr,hops,3,USES_LBPRusesHOPS
C3146302,C0016564,USES,Mutagenesis Procedure,Formaldehyde,lbpr,hops,1,USES_LBPRusesHOPS
