cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007584,C0026339,USES,Cell Count,Biological Models,lbpr,resd,1,USES_LBPRusesRESD
C0007584,C0206665,USES,Cell Count,"Chromosomes, Artificial, Yeast",lbpr,resd,3,USES_LBPRusesRESD
C0007584,C0444330,USES,Cell Count,Slide (glass microscope),lbpr,resd,2,USES_LBPRusesRESD
C0007584,C0600596,USES,Cell Count,DNA Microarray Chip,lbpr,resd,2,USES_LBPRusesRESD
C0007584,C1709027,USES,Cell Count,Microplate,lbpr,resd,1,USES_LBPRusesRESD
C0007616,C0872110,USES,Cell Separation,biochip,lbpr,resd,1,USES_LBPRusesRESD
C0008551,C1706746,USES,"Chromatography, Affinity",Agarose Gel,lbpr,resd,1,USES_LBPRusesRESD
C0010214,C1706746,USES,Countercurrent electrophoresis measurement,Agarose Gel,lbpr,resd,1,USES_LBPRusesRESD
C0013855,C1706746,USES,Electrophoresis,Agarose Gel,lbpr,resd,15,USES_LBPRusesRESD
C0013856,C1706746,USES,"Electrophoresis, Agar Gel",Agarose Gel,lbpr,resd,1,USES_LBPRusesRESD
C0014441,C1709027,USES,Enzyme-Linked Immunosorbent Assay,Microplate,lbpr,resd,14,USES_LBPRusesRESD
C0019635,C0444330,USES,Histocytochemistry,Slide (glass microscope),lbpr,resd,1,USES_LBPRusesRESD
C0020980,C1709027,USES,Immunoassay method,Microplate,lbpr,resd,1,USES_LBPRusesRESD
C0021044,C0444330,USES,Immunohistochemistry,Slide (glass microscope),lbpr,resd,6,USES_LBPRusesRESD
C0021044,C1519522,USES,Immunohistochemistry,Tissue Microarray,lbpr,resd,1,USES_LBPRusesRESD
C0022885,C0444330,USES,Laboratory Procedures,Slide (glass microscope),lbpr,resd,1,USES_LBPRusesRESD
C0022885,C1709027,USES,Laboratory Procedures,Microplate,lbpr,resd,3,USES_LBPRusesRESD
C0032520,C0600596,USES,Polymerase Chain Reaction,DNA Microarray Chip,lbpr,resd,1,USES_LBPRusesRESD
C0032520,C1706746,USES,Polymerase Chain Reaction,Agarose Gel,lbpr,resd,4,USES_LBPRusesRESD
C0037813,C2347727,USES,Mass Spectrometry,Quadrupole,lbpr,resd,4,USES_LBPRusesRESD
C0079240,C1709027,USES,Dilution technique,Microplate,lbpr,resd,2,USES_LBPRusesRESD
