cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0017108,C0030054,USES,Gas Scavengers,Oxygen,medd,elii,3,USES_MEDDusesELII
C0024861,C0030054,USES,Masks,Oxygen,medd,elii,1,USES_MEDDusesELII
C0025973,C0018026,USES,Microelectrodes,Gold,medd,elii,1,USES_MEDDusesELII
C0179038,C0018880,USES,"Analyzer, device",Helium,medd,elii,1,USES_MEDDusesELII
C0179630,C0018026,USES,Cartridge device,Gold,medd,elii,1,USES_MEDDusesELII
C0182400,C0018026,USES,Probes,Gold,medd,elii,1,USES_MEDDusesELII
C0182953,C3848561,USES,Regulators (device),ferric cation,medd,elii,1,USES_MEDDusesELII
C0392247,C0022792,USES,Argon Ion Lasers,Krypton,medd,elii,1,USES_MEDDusesELII
C0456378,C0038774,USES,Type of bridge device,Sulfur,medd,elii,1,USES_MEDDusesELII
C1314650,C0030054,USES,"SUPPLY, NOT OTHERWISE SPECIFIED",Oxygen,medd,elii,1,USES_MEDDusesELII
C2826325,C0018026,USES,Fiducial Markers,Gold,medd,elii,2,USES_MEDDusesELII
