cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0027524,C0022877,USES,Nebulizers,Laboratory,medd,orgt,3,USES_MEDDusesORGT
C0178959,C0023621,USES,ADAPTER,Libraries,medd,orgt,6,USES_MEDDusesORGT
C0179038,C0022877,USES,"Analyzer, device",Laboratory,medd,orgt,4,USES_MEDDusesORGT
C0179245,C0022877,USES,water baths,Laboratory,medd,orgt,4,USES_MEDDusesORGT
C0179302,C0023621,USES,"Binder, device",Libraries,medd,orgt,2,USES_MEDDusesORGT
C0180919,C0023621,USES,"FLUOROMETER, FOR CLINICAL USE",Libraries,medd,orgt,1,USES_MEDDusesORGT
C0181064,C0022877,USES,Gown,Laboratory,medd,orgt,2,USES_MEDDusesORGT
C0181200,C0022877,USES,homogenizers,Laboratory,medd,orgt,1,USES_MEDDusesORGT
C0181813,C0022877,USES,metabolic carts,Laboratory,medd,orgt,2,USES_MEDDusesORGT
C0182258,C0022877,USES,Microplate Reader,Laboratory,medd,orgt,1,USES_MEDDusesORGT
C0182362,C0023621,USES,Skin Prep Kits,Libraries,medd,orgt,5,USES_MEDDusesORGT
C0182400,C0023621,USES,Probes,Libraries,medd,orgt,2,USES_MEDDusesORGT
C0441316,C0022877,USES,Support equipment,Laboratory,medd,orgt,1,USES_MEDDusesORGT
C0491921,C0041740,USES,IMPACTOR,Universities,medd,orgt,6,USES_MEDDusesORGT
C0872077,C0022877,USES,portable biomedical equipment,Laboratory,medd,orgt,2,USES_MEDDusesORGT
C0879140,C0022877,USES,Towelettes,Laboratory,medd,orgt,1,USES_MEDDusesORGT
C0972401,C0036375,USES,Boards (medical device),School,medd,orgt,5,USES_MEDDusesORGT
C1135597,C0022877,USES,Linen Protection Pads,Laboratory,medd,orgt,1,USES_MEDDusesORGT
C1139730,C0036375,USES,monitoring systems,School,medd,orgt,1,USES_MEDDusesORGT
C1139930,C0023621,USES,Device Plate,Libraries,medd,orgt,2,USES_MEDDusesORGT
C1314650,C0022877,USES,"SUPPLY, NOT OTHERWISE SPECIFIED",Laboratory,medd,orgt,1,USES_MEDDusesORGT
