cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0018724,C0024861,USES,Health Personnel,Masks,prog,medd,4,USES_PROGusesMEDD
C0018724,C0042497,USES,Health Personnel,Mechanical Ventilator,prog,medd,5,USES_PROGusesMEDD
C0018724,C0180309,USES,Health Personnel,Automated External Defibrillators,prog,medd,1,USES_PROGusesMEDD
C0018724,C0180407,USES,Health Personnel,Dialysis units (machines),prog,medd,1,USES_PROGusesMEDD
C0018724,C0181758,USES,Health Personnel,Surgical face mask,prog,medd,2,USES_PROGusesMEDD
C0018724,C0183086,USES,Health Personnel,sanitizers,prog,medd,1,USES_PROGusesMEDD
C0018724,C0687607,USES,Health Personnel,"Thermometers, Electronic, Infrared, Ear",prog,medd,1,USES_PROGusesMEDD
C0018724,C0972401,USES,Health Personnel,Boards (medical device),prog,medd,1,USES_PROGusesMEDD
C0085546,C0336630,USES,Ethics Committees,Endotracheal tube,prog,medd,1,USES_PROGusesMEDD
C0175906,C0972401,USES,Cardiologists,Boards (medical device),prog,medd,1,USES_PROGusesMEDD
C0278602,C0972401,USES,Internist,Boards (medical device),prog,medd,2,USES_PROGusesMEDD
C0586859,C0179432,USES,Pulmonologists,Bronchoscopes,prog,medd,1,USES_PROGusesMEDD
