cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005540,C0972401,USES,Biomedical Research,Boards (medical device),resa,medd,1,USES_RESAusesMEDD
C0007328,C0024861,USES,Case-Control Studies,Masks,resa,medd,1,USES_RESAusesMEDD
C0007328,C0179350,USES,Case-Control Studies,blood gas monitors,resa,medd,1,USES_RESAusesMEDD
C0007328,C0181129,USES,Case-Control Studies,Headlights,resa,medd,1,USES_RESAusesMEDD
C0008976,C0024861,USES,Clinical Trials,Masks,resa,medd,4,USES_RESAusesMEDD
C0008976,C0042497,USES,Clinical Trials,Mechanical Ventilator,resa,medd,1,USES_RESAusesMEDD
C0008976,C0175731,USES,Clinical Trials,T-tube,resa,medd,1,USES_RESAusesMEDD
C0008976,C0441084,USES,Clinical Trials,Single probe,resa,medd,1,USES_RESAusesMEDD
C0008976,C0728990,USES,Clinical Trials,Clinical Use Template,resa,medd,1,USES_RESAusesMEDD
C0008976,C1618912,USES,Clinical Trials,"TRANSFER DEVICE, ANY TYPE, EACH",resa,medd,1,USES_RESAusesMEDD
C0008976,C1706912,USES,Clinical Trials,BARRIER,resa,medd,1,USES_RESAusesMEDD
C0009933,C0032042,USES,Controlled Clinical Trials as Topic,Placebos,resa,medd,25,USES_RESAusesMEDD
C0010362,C0879240,USES,Cross-Sectional Studies,Nasal Swabs,resa,medd,1,USES_RESAusesMEDD
C0010995,C0183396,USES,Data Collection,Mass Spectrometers (device),resa,medd,1,USES_RESAusesMEDD
C0016441,C0879240,USES,Follow-Up Studies,Nasal Swabs,resa,medd,1,USES_RESAusesMEDD
C0016441,C1136346,USES,Follow-Up Studies,Protein Arrays,resa,medd,1,USES_RESAusesMEDD
C0023981,C0879240,USES,Longitudinal Studies,Nasal Swabs,resa,medd,1,USES_RESAusesMEDD
C0031928,C0182537,USES,Pilot Projects,pump (device),resa,medd,1,USES_RESAusesMEDD
C0038136,C0687603,USES,Standardization,thermographs,resa,medd,1,USES_RESAusesMEDD
C0079435,C0728990,USES,Genome Mapping,Clinical Use Template,resa,medd,1,USES_RESAusesMEDD
C0150097,C0032042,USES,Cross-Over Studies,Placebos,resa,medd,2,USES_RESAusesMEDD
C0150108,C0181839,USES,Blinded,Microscopes,resa,medd,1,USES_RESAusesMEDD
C0178693,C0027524,USES,human study,Nebulizers,resa,medd,1,USES_RESAusesMEDD
C0206035,C0032042,USES,"Controlled Clinical Trials, Randomized",Placebos,resa,medd,14,USES_RESAusesMEDD
C0206055,C0183400,USES,"Spectroscopy, Fourier Transform Infrared",spectrophotometer,resa,medd,1,USES_RESAusesMEDD
C0242481,C0972401,USES,Research Activities,Boards (medical device),resa,medd,1,USES_RESAusesMEDD
C0242625,C0182301,USES,Patch-Clamp Techniques,Pipette (physical object),resa,medd,1,USES_RESAusesMEDD
C0242817,C0032042,USES,Cross-Over Design,Placebos,resa,medd,2,USES_RESAusesMEDD
C0282461,C0032042,USES,Phase 3 Clinical Trials,Placebos,resa,medd,1,USES_RESAusesMEDD
C0302523,C0180153,USES,Observation in research,Covers (device),resa,medd,1,USES_RESAusesMEDD
C0302523,C0181839,USES,Observation in research,Microscopes,resa,medd,1,USES_RESAusesMEDD
C0302523,C0181845,USES,Observation in research,Electron microscope,resa,medd,2,USES_RESAusesMEDD
C0302523,C0182400,USES,Observation in research,Probes,resa,medd,1,USES_RESAusesMEDD
C0302523,C0182557,USES,Observation in research,"Punches, Biopsy (device)",resa,medd,1,USES_RESAusesMEDD
C0302523,C0262880,USES,Observation in research,Transmission Electron Microscopes,resa,medd,1,USES_RESAusesMEDD
C0302523,C0810635,USES,Observation in research,spinal cord stimulators,resa,medd,1,USES_RESAusesMEDD
C0597634,C0009653,USES,vaccine development,"Condoms, Male",resa,medd,4,USES_RESAusesMEDD
C0600367,C3495449,USES,Seroprevalence,Mobility aid,resa,medd,1,USES_RESAusesMEDD
C0678323,C1139930,USES,experimentation,Device Plate,resa,medd,1,USES_RESAusesMEDD
C0679083,C0180979,USES,simulation,Frame (physical object),resa,medd,1,USES_RESAusesMEDD
C0679083,C0336587,USES,simulation,"Surgical drill, device (physical object)",resa,medd,1,USES_RESAusesMEDD
C0679083,C0441083,USES,simulation,Barostat,resa,medd,1,USES_RESAusesMEDD
C0679083,C0728990,USES,simulation,Clinical Use Template,resa,medd,1,USES_RESAusesMEDD
C0679083,C0789995,USES,simulation,Air Cleaners - Device,resa,medd,1,USES_RESAusesMEDD
C0681814,C0005971,USES,research study,Bone plates,resa,medd,1,USES_RESAusesMEDD
C0681814,C0009653,USES,research study,"Condoms, Male",resa,medd,3,USES_RESAusesMEDD
C0681814,C0027524,USES,research study,Nebulizers,resa,medd,2,USES_RESAusesMEDD
C0681814,C0027551,USES,research study,Needle device,resa,medd,1,USES_RESAusesMEDD
C0681814,C0175722,USES,research study,Clip,resa,medd,1,USES_RESAusesMEDD
C0681814,C0175730,USES,research study,biomedical tube device,resa,medd,2,USES_RESAusesMEDD
C0681814,C0179302,USES,research study,"Binder, device",resa,medd,1,USES_RESAusesMEDD
C0681814,C0179533,USES,research study,"Camera, device",resa,medd,2,USES_RESAusesMEDD
C0681814,C0180249,USES,research study,Cushion,resa,medd,1,USES_RESAusesMEDD
C0681814,C0180266,USES,research study,CUVETTES,resa,medd,2,USES_RESAusesMEDD
C0681814,C0180859,USES,research study,filter papers,resa,medd,1,USES_RESAusesMEDD
C0681814,C0180979,USES,research study,Frame (physical object),resa,medd,1,USES_RESAusesMEDD
C0681814,C0181168,USES,research study,HEMOCYTOMETER,resa,medd,1,USES_RESAusesMEDD
C0681814,C0181200,USES,research study,homogenizers,resa,medd,1,USES_RESAusesMEDD
C0681814,C0181206,USES,research study,Class II biological safety cabinet,resa,medd,1,USES_RESAusesMEDD
C0681814,C0181332,USES,research study,Syringe pump,resa,medd,1,USES_RESAusesMEDD
C0681814,C0181620,USES,research study,Hoist device,resa,medd,1,USES_RESAusesMEDD
C0681814,C0181633,USES,research study,Light source,resa,medd,1,USES_RESAusesMEDD
C0681814,C0181687,USES,research study,loops,resa,medd,1,USES_RESAusesMEDD
C0681814,C0181839,USES,research study,Microscopes,resa,medd,2,USES_RESAusesMEDD
C0681814,C0181845,USES,research study,Electron microscope,resa,medd,1,USES_RESAusesMEDD
C0681814,C0182400,USES,research study,Probes,resa,medd,10,USES_RESAusesMEDD
C0681814,C0183212,USES,research study,Separators,resa,medd,1,USES_RESAusesMEDD
C0681814,C0183396,USES,research study,Mass Spectrometers (device),resa,medd,1,USES_RESAusesMEDD
C0681814,C0183400,USES,research study,spectrophotometer,resa,medd,1,USES_RESAusesMEDD
C0681814,C0184104,USES,research study,blood collection tubes,resa,medd,1,USES_RESAusesMEDD
C0681814,C0184187,USES,research study,Tweezer,resa,medd,2,USES_RESAusesMEDD
