cui,type,name
C0001168,acab,Complete obstruction
C0001511,acab,Tissue Adhesions
C0002690,acab,Amputation Stumps
C0002949,acab,"Aneurysm, Dissecting"
C0009080,acab,Clubbed Fingers
C0009917,acab,Contracture
C0017145,acab,Gastric Varix
C0022548,acab,Keloid
C0024441,acab,Macular Holes
C0028259,acab,Nodule
C0035321,acab,Retinal Perforations
C0037284,acab,Skin lesion
C0037287,acab,Skin nodule
C0042140,acab,Uterine Prolapse
C0042345,acab,Varicosity
C0085400,acab,Neurofibrillary degeneration (morphologic abnormality)
C0085648,acab,Synovial Cyst
C0085664,acab,Cutaneous horn
C0151942,acab,Arterial thrombosis
C0154828,acab,Traction detachment of retina
C0162810,acab,"Cicatrix, Hypertrophic"
C0205204,acab,Scab
C0221245,acab,Fissure in skin
C0221248,acab,Tophus
C0221430,acab,Acquired deformity
C0236053,acab,Mucosal ulcer
C0240821,acab,Pseudomembrane
C0263568,acab,Ugly scar
C0269189,acab,Ectropion of cervix
C0271055,acab,Rhegmatogenous retinal detachment
C0271083,acab,Nonexudative age-related macular degeneration
C0271413,acab,Hematoma of pinna
C0274256,acab,Foreign body in intestine
C0302148,acab,Blood Clot
C0311277,acab,"Obesity, Abdominal"
C0332853,acab,Anastomosis
C0333133,acab,Mucus cast
C0333153,acab,Glandular cyst
C0333160,acab,Air cyst
C0333183,acab,Partial stenosis
C0333186,acab,Restenosis
C0333209,acab,Platelet thrombus
C0333222,acab,Septic embolus
C0333262,acab,Vesicle (morphologic abnormality)
C0333297,acab,Chronic ulcer
C0333303,acab,Dendritic ulcer
C0333307,acab,Superficial ulcer
C0333308,acab,Acute superficial ulcer
C0333463,acab,Senile Plaques
C0334070,acab,Maturation defect
C0334139,acab,Microglial nodules
C0339543,acab,Epiretinal Membrane
C0341698,acab,Atrophy of kidney
C0344258,acab,Corneal dellen
C0376154,acab,Skin callus
C0406161,acab,Seed corn
C0410158,acab,Muscle damage
C0442832,acab,Alveolar rupture
C0442833,acab,Arteriolar hyalinosis
C0442872,acab,Multiple cysts
C0442887,acab,Septal hypertrophy
C0521172,acab,Eschar
C0541754,acab,Sterile abscess
C0546343,acab,Mucosal erosion
C1096458,acab,Vascular occlusion
C1142477,acab,Splenic nodule
C1265875,acab,Disintegration (morphologic abnormality)
C1519666,acab,Tumor-Associated Vasculature
C1720251,acab,Retinal pigment epithelium atrophy
C2936349,acab,"Plaque, Amyloid"
C2936380,acab,Neointima
C4476910,acab,Thin-cap fibroatheroma
