cui,type,name
C0009476,acty,Community Participation
C0015187,acty,Euthanasia
C0015922,acty,Festivals
C0019843,acty,Holidays
C0020115,acty,Human Activities
C0035345,acty,Retirement
C0038952,acty,Continuance of life
C0043027,acty,War
C0206243,acty,Carrying
C0282116,acty,collaboration
C0441655,acty,Activities
C0872021,acty,Bioterrorism
C1521827,acty,Preparation
C1707391,acty,Choose (action)
C1708476,acty,Implementation
C1880022,acty,Characterization
C1880177,acty,Contribution
C2003888,acty,Lower (action)
C2828389,acty,Exclusion
C3266814,acty,Action
C3463820,acty,Inhibition
C3829356,acty,"Labeling, Not Otherwise Specified"
C3897620,acty,Shade
