cui,type,name
C0002518,amas,Amino Acid Sequence
C0037081,amas,Signal Peptides
C0525021,amas,Nuclear Localization Signals
C0600499,amas,Catalytic Domain
C0920679,amas,aminoacid sequence of protein
C1511662,amas,DNA Binding Domain
C1511997,amas,Disulfide Linkage
C1512311,amas,HMG-Box
C1512604,amas,ITIM
C1512665,amas,Immunoglobulin Domains
C1513868,amas,N Domain
C1514490,amas,Proline-Rich Domain
C1514535,amas,Protein Binding Motif
C1514562,amas,Protein Domain
C1514650,amas,RHO Effector Domain
C1515099,amas,Sushi Domain
C1517644,amas,KDEL Motif
C1519063,amas,Phosphorylation Site
C1519727,amas,Tyrosine Phosphorylation Site
C1519738,amas,UBA Domain
C1520109,amas,WD40 Repeats
C1520153,amas,Winged Helix
C1707271,amas,Carboxy-Terminal Amino Acid
C4505239,amas,Tetratricopeptide Repeat
C4505241,amas,PR Domain
