cui,type,name
C0003063,anim,"Animals, Domestic"
C0003064,anim,"Animals, Laboratory"
C0003065,anim,"Animals, Newborn"
C0003069,anim,"Animals, Transgenic"
C0003070,anim,"Animals, Wild"
C0012656,anim,Disease Vectors
C0031268,anim,Pet Animal
C0162318,anim,Farm Animals
C0562690,anim,Carnivore
C0562691,anim,Herbivory
C0562693,anim,Omnivore
C0596888,anim,mature animal
C0598744,anim,juvenile animal
C0599779,anim,Animal Model
C0682496,anim,parasitic animal
C0683949,anim,animal study
C0684068,anim,higher animals
C0869004,anim,pests
C0887965,anim,Experimental Animal Models
C0920312,anim,Chordata
C0920362,anim,Animal Infants
C0969757,anim,"Animals, Genetically Modified"
C1171353,anim,knockout animal
C1511501,anim,Control Animal
C1514783,anim,Recombinant Inbred Strain
C1516786,anim,Congenic Strain
C1547282,anim,Show
C1554184,anim,Dual
C2936506,anim,Livestock
C3687489,anim,Animal for breeding
C4042823,anim,"Animals, Exotic"
C4086844,anim,Schistosoma Cercariae
