cui,type,name
C0001076,bact,Acholeplasma
C0001084,bact,Achromobacter
C0001138,bact,Acinetobacter
C0001248,bact,Actinobacillus
C0001250,bact,Actinomyces
C0001253,bact,Actinomycetaceae
C0001254,bact,Actinomycetales
C0001699,bact,Klebsiella pneumoniae
C0001703,bact,Aerococcus
C0001705,bact,Aeromonas
C0001830,bact,Agrobacterium
C0002794,bact,Anaplasma
C0002795,bact,Anaplasmataceae
C0004586,bact,Bacillaceae
C0004587,bact,Bacillus <bacterium>
C0004589,bact,Bacillus anthracis
C0004590,bact,Bacillus cereus
C0004591,bact,Bacillus megaterium
C0004594,bact,Geobacillus stearothermophilus
C0004595,bact,Bacillus subtilis
C0004597,bact,Bacillus thuringiensis
C0004611,bact,Bacteria
C0004612,bact,"Bacteria, Aerobic"
C0004613,bact,"Bacteria, Anaerobic"
C0004661,bact,Bacteroides
C0004663,bact,Bacteroides fragilis
C0004670,bact,Prevotella melaninogenica
C0004770,bact,Bartonella
C0004892,bact,Bdellovibrio
C0005380,bact,Bifidobacterium
C0006013,bact,genus Bordetella
C0006017,bact,Bordetella pertussis
C0006033,bact,Borrelia
C0006034,bact,Borrelia burgdorferi
C0006132,bact,Moraxella (Branhamella) catarrhalis
C0006303,bact,Brucella
C0006304,bact,Brucella abortus
C0006305,bact,Brucella melitensis
C0006813,bact,Campylobacter
C0006814,bact,Campylobacter fetus
C0006819,bact,Campylobacter jejuni
C0006916,bact,Capnocytophaga
C0008148,bact,Chlamydia
C0008150,bact,Chlamydophila psittaci
C0008151,bact,Chlamydia trachomatis
C0008152,bact,Chlamydiaceae
C0008154,bact,Chlamydiales
C0008862,bact,Citrobacter
C0009054,bact,Clostridium
C0009055,bact,Clostridium botulinum
C0009063,bact,Clostridium perfringens
C0009064,bact,Clostridium tetani
C0010148,bact,Corynebacterium
C0010150,bact,Corynebacterium diphtheriae
C0010152,bact,Rhodococcus equi
C0010156,bact,Corynebacterium pyogenes
C0010239,bact,Coxiella
C0010240,bact,Coxiella burnetii
C0011731,bact,Desulfovibrio
C0013722,bact,Ehrlichia
C0014344,bact,Enterobacter
C0014346,bact,Enterobacteriaceae
C0014475,bact,Eperythrozoon
C0014735,bact,Erysipelothrix
C0014738,bact,Erysipelothrix rhusiopathiae
C0014833,bact,Escherichia
C0014834,bact,Escherichia coli
C0015146,bact,Eubacterium
C0016676,bact,Francisella
C0016677,bact,FRANCISELLA TULARENSIS
C0016878,bact,Genus Fusobacterium
C0017098,bact,Gardnerella vaginalis
