cui,type,name
C0005595,bird,Aves
C0006345,bird,Melopsittacus
C0006824,bird,Serinus
C0008051,bird,Chickens
C0013268,bird,Ducks
C0017225,bird,Geese
C0030435,bird,Parakeets
C0032850,bird,"Fowls, Domestic"
C0033852,bird,Order Psittaciformes (organism)
C0034374,bird,Quail
C0041401,bird,Meleagridinae
C0324556,bird,Domestic avian species
C0324580,bird,Fayoumi chicken
C0324587,bird,Japanese chicken
C0324595,bird,Leghorn chicken
C0324623,bird,Cairina moschata
C0324624,bird,Pekin duck
C0324626,bird,Domestic goose
C0325328,bird,Wild bird
C0325331,bird,Spheniscidae
C0325333,bird,Spheniscus demersus
C0325336,bird,Struthio camelus
C0325343,bird,Emu family
C0325386,bird,Pelecaniformes
C0325394,bird,Pelecanus occidentalis
C0325399,bird,Pelecanus onocrotalus
C0325422,bird,Phalacrocorax harrisi
C0325430,bird,Fregata minor
C0325433,bird,Fregata ariel
C0325435,bird,Order Ciconiiformes
C0325437,bird,Heron (bird)
C0325459,bird,Stork
C0325474,bird,Spoonbill
C0325478,bird,Family Phoenicopteridae (organism)
C0325486,bird,Anseriformes
C0325493,bird,Anas platyrhynchos platyrhynchos
C0325495,bird,Anas acuta
C0325496,bird,Anas strepera strepera
C0325503,bird,Anas penelope
C0325507,bird,Aix galericulata
C0325512,bird,Aythya fuligula
C0325516,bird,Tadorna
C0325519,bird,Wild goose
C0325521,bird,Branta canadensis
C0325525,bird,Anser anser anser (organism)
C0325528,bird,Genus Cygnus
C0325530,bird,Cygnus olor
C0325536,bird,Gymnogyps californianus (organism)
C0325542,bird,Accipitridae
C0325552,bird,Lammergeier
C0325553,bird,Hawks (bird)
C0325562,bird,Common buzzard
C0325564,bird,Eagle
C0325581,bird,Falco peregrinus
C0325589,bird,Galliformes
C0325597,bird,Curassow
C0325609,bird,Family Numididae
C0325628,bird,Meleagris gallopavo
C0325635,bird,Family Phasianidae
C0325681,bird,Phasianus colchicus
C0325693,bird,Peafowl
C0325694,bird,Pavo cristatus
C0325736,bird,Rallidae
C0325773,bird,Charadriiformes
C0325803,bird,Arenaria <Aves>
C0325804,bird,Arenaria interpres (bird)
C0325807,bird,Scolopacidae
C0325816,bird,Calidris alba
C0325862,bird,Skua
C0325864,bird,Stercorarius maccormicki
C0325870,bird,Laridae
C0325871,bird,Larus argentatus
C0325872,bird,Great black-backed gull
C0325875,bird,Black-headed gull
C0325905,bird,Columbiformes
C0325912,bird,Columbidae
C0325953,bird,Psittacus erithacus
C0325969,bird,Amazona
C0325983,bird,Genus Ara
C0325984,bird,Ara ararauna
C0326014,bird,Family cacatuidae
C0326016,bird,Cacatua galerita galerita
C0326026,bird,Nymphicus hollandicus
C0326030,bird,Cuculidae
C0326066,bird,Family Strigidae
C0326067,bird,Strigiformes
C0326098,bird,Podargus strigoides
C0326116,bird,Family Apodidae
C0326154,bird,Coraciiformes
C0326180,bird,Coraciidae
C0326182,bird,European roller
C0326287,bird,Ant-thrush (organism)
C0326374,bird,Family Hirundinidae
C0326380,bird,Purple martin
C0326390,bird,Corvidae
C0326391,bird,Crow
C0326395,bird,Carrion crow
C0326402,bird,Jay
C0326547,bird,Bulbul
C0326586,bird,Family Turdidae (organism)
C0326725,bird,Myna
C0326774,bird,Bananaquit
C0326793,bird,Yellow warbler
C0326825,bird,Passer domesticus
C0326833,bird,Taeniopygia guttata
C0326914,bird,Family Fringillidae (organism)
C0326915,bird,Finches
C0326917,bird,Carpodacus purpureus
C0326918,bird,Darwin's finch
C0326937,bird,Passeridae
C0326943,bird,Tree sparrow
C0597941,bird,aquatic bird
C0600536,bird,Raptors
C0600538,bird,Songbirds
C0600539,bird,Ratites
C0999149,bird,Dromaius
C0999170,bird,Apteryx
C0999213,bird,Chen
C0999214,bird,Chen caerulescens
C0999218,bird,Nycticorax
C0999232,bird,Columba livia
C0999234,bird,Columba palumbus
C0999244,bird,Falco
C0999287,bird,Gallus
C0999311,bird,Argusianus
C0999389,bird,Pygoscelis adeliae
C0999391,bird,Spheniscus humboldti
C1002190,bird,Larus canus
C1004593,bird,Scopus
C1005667,bird,Neophema
C1012106,bird,Anas gracilis
C1012112,bird,Tadorna tadornoides
C1012119,bird,Malacorhynchus membranaceus
C1012695,bird,Phoebetria fusca
C1015285,bird,Anser albifrons
C1017776,bird,Thalassarche cauta
C1019337,bird,Otus
C1020012,bird,Eudyptes schlegeli
C1020672,bird,Mimus
C1030293,bird,Ninox strenua
C1031492,bird,Anas rubripes
C1031495,bird,Anas strepera
C1033593,bird,Ninox connivens
C1033886,bird,Eudyptes chrysocome
C1037090,bird,Crax rubra
C1046445,bird,Picus
C1050043,bird,Hypothymis azurea
C1055144,bird,Zenaida galapagoensis
C1058471,bird,Coccyzus melacoryphus
C1061909,bird,Nipponia nippon
C1072603,bird,Amazona farinosa
C1074854,bird,Spheniscus mendiculus
C1081164,bird,Neognathae
C1081641,bird,Carpodacus
C1082071,bird,Fregata
C1201272,bird,Monarcha axillaris
C1207621,bird,Seiurus
C1207622,bird,Seiurus aurocapilla
C1208950,bird,Branta leucopsis
C1208951,bird,Branta bernicla
C1215242,bird,Calidris acuminata
C1260940,bird,Anser anser
C1260943,bird,Anas platyrhynchos
C1265553,bird,Aythya
C1265554,bird,Genus Gallinula
C1275612,bird,Eclectus roratus
C1296263,bird,Chinese white goose
C1301020,bird,Genus Larus (organism)
C1384490,bird,Family Psittacidae (organism)
C1384595,bird,Melopsittacus undulatus
C1449597,bird,Ravens
C1462016,bird,Spizaetus nipalensis
C1484908,bird,Calidris ferruginea
C1489300,bird,Dinornis struthoides
C1510419,bird,Troglodytes troglodytes
C1621793,bird,Sturnidae
C1624550,bird,Calyptorhynchus latirostris
C1627831,bird,Cygnus cygnus
C1641551,bird,Larus fuliginosus
C1650572,bird,Turdus helleri
C1670393,bird,Glossopsitta concinna
C1673306,bird,Trichoglossus haematodus
C1760707,bird,Cacatua galerita
C1827216,bird,Calidris ruficollis
C1827649,bird,Genus Nesochen
C1828092,bird,Cathartes
C1828284,bird,Perdicinae
C2658720,bird,Gymnomyza samoensis (organism)
C2698565,bird,Broiler chicken
C2959672,bird,Cardinalidae
C2959832,bird,Anatinae
C2960703,bird,Dicrurus adsmilis
C3572906,bird,Corvus mellori
C3669416,bird,Broiler chick
C3669435,bird,Embryonated chicken egg
C3669468,bird,Young turkey
C3669471,bird,Chicken laying egg for human food
C3669511,bird,Order Accipitriformes
C3669677,bird,Young chicken
C3669679,bird,Chicken for meat production
C3669686,bird,Turkey for meat production
C3685764,bird,Gerygone albofrontata
C3685795,bird,Recurvirostra novaehollandiae
C3687490,bird,Teal
C3687664,bird,Growing chicken
C3973343,bird,Galloanserae
