cui,type,name
C0002346,bmod,Alternative Medicine
C0004644,bmod,Bacteriology
C0005489,bmod,Bioethics
C0005532,bmod,biology (field)
C0005553,bmod,Biophysics
C0005574,bmod,Biotechnology
C0008003,bmod,"Chemistry, Pharmaceutical"
C0008964,bmod,Clinical Medicine
C0010802,bmod,Cytogenetics
C0010819,bmod,Cytology
C0014507,bmod,Epidemiology
C0015607,bmod,family medicine (field)
C0018722,bmod,Health Occupations
C0018943,bmod,Hematology (discipline)
C0019638,bmod,Histology
C0020405,bmod,Hygiene
C0025123,bmod,chinese medicine
C0025124,bmod,Traditional Chinese Medicine
C0025131,bmod,"Medicine, Traditional"
C0026376,bmod,Molecular Biology
C0029087,bmod,Ophthalmology specialty
C0030664,bmod,Pathology
C0030667,bmod,"Pathology, Clinical"
C0030755,bmod,Pediatrics
C0031330,bmod,Pharmacology
C0031336,bmod,Pharmacy (field)
C0031842,bmod,Physiology
C0033110,bmod,preventive medicine specialty
C0033909,bmod,Psychology
C0034019,bmod,public health medicine (field)
C0036745,bmod,Study of serum
C0040541,bmod,Toxicology
C0041186,bmod,Tropical Medicine
C0080339,bmod,Women's Health
C0152036,bmod,Immunology
C0206173,bmod,Molecular Epidemiology
C0376537,bmod,Evidence-Based Medicine
C0677043,bmod,Histopathology
C0678966,bmod,personality psychology
C0872152,bmod,drug development
C0872252,bmod,Proteomics
C0872316,bmod,functional genomics
C0876934,bmod,Neuropathology
C0887950,bmod,Genomics
C0920379,bmod,veterinary science
C0920591,bmod,mimetics
C1113652,bmod,Laser Capture Microdissection
C1140694,bmod,Bio-Informatics
C1257974,bmod,Regenerative Medicine
C1273858,bmod,Transfusion Medicine
C1274034,bmod,Clinical Oncology
C1319410,bmod,Transplantation surgery specialty
C1450477,bmod,Systems Biology
C1456573,bmod,Global Health
C1510818,bmod,Advanced Practice Nurse
C1513058,bmod,Medical Occupation
C1513397,bmod,Molecular Medicine
C1514693,bmod,Radiation Oncologists
C1516653,bmod,Clinical Virology
C1516908,bmod,Epidemiologists
C1519753,bmod,Ultrastructural Pathology
C1520003,bmod,Viral Epidemiology
C1704382,bmod,Imaging Technology
C1721076,bmod,Forensic Genetics
C1879848,bmod,Biomedicine
C1955980,bmod,Disaster Medicine
C3826168,bmod,Human physiology
