cui,type,name
C0001280,cell,Armed macrophage
C0003154,cell,Anterior Horn Cells
C0003273,cell,Antibody-Producing Cells
C0003315,cell,Antigen-Presenting Cells
C0004112,cell,Astrocytes
C0004561,cell,B-Lymphocytes
C0004827,cell,Basophils
C0005773,cell,Blood Cells
C0005821,cell,Blood Platelets
C0005955,cell,Bone Marrow Cells
C0007600,cell,Cultured Cell Line
C0007601,cell,"Cell Line, Transformed"
C0007635,cell,Cultured Cells
C0008010,cell,Chemoreceptor Cells
C0008572,cell,Chromatophore
C0009013,cell,Clone Cells
C0011306,cell,Dendritic Cells
C0013485,cell,Embryonal Carcinoma Stem Cells
C0014355,cell,Argentaffin Cell
C0014467,cell,eosinophil
C0014597,cell,Epithelial Cells
C0014603,cell,Epithelioid Cells
C0014762,cell,Erythroblasts
C0014792,cell,Erythrocytes
C0014802,cell,Erythroid Precursor Cells
C0015161,cell,Eukaryotic Cells
C0016030,cell,Fibroblasts
C0016390,cell,Foam Cells
C0017471,cell,Germ Cells
C0017473,cell,Germ Line
C0017526,cell,Giant Cells
C0017527,cell,"Giant Cells, Foreign-Body"
C0018183,cell,granulocyte
C0018207,cell,granulosa cell
C0018496,cell,Auditory Hair Cell
C0018497,cell,Inner Auditory Hair Cells
C0018873,cell,HeLa Cells
C0018894,cell,Helper-Inducer T-Lymphocyte
C0018956,cell,Hematopoietic stem cells
C0019612,cell,Histiocytes
C0020200,cell,Hybrid Cells
C0020204,cell,Hybridomas
C0021792,cell,Interneurons
C0022539,cell,KB Cells
C0022567,cell,keratinocyte
C0022686,cell,Killer Cells
C0022687,cell,Lymphokine-Activated Killer Cells
C0022688,cell,Natural Killer Cells
C0022801,cell,Hepatic macrophage
C0022827,cell,L Cells (Cell Line)
C0023005,cell,Langerhans cell
C0023516,cell,Leukocytes
C0023517,cell,Nongranular leukocyte
C0023602,cell,Structure of interstitial cell of Leydig
C0024264,cell,Lymphocyte
C0024265,cell,Null cell
C0024432,cell,macrophage
C0024880,cell,mast cell
C0025166,cell,Megakaryocytes
C0025201,cell,melanocyte
C0026473,cell,Monocytes
C0026609,cell,Motor Neurons
C0027625,cell,Circulating Neoplastic Cells
C0027836,cell,Neuroglia
C0027882,cell,Neurons
C0027883,cell,Afferent neuron
C0027950,cell,neutrophil
C0028875,cell,Odontoblasts
C0028944,cell,Oligodendroglia
C0029045,cell,Oocytes
C0029048,cell,Oogonia
C0029418,cell,Osteoblasts
C0029431,cell,Osteoclasts
C0029432,cell,Osteocytes
C0029974,cell,Ovum
C0030281,cell,Structure of beta Cell of islet
C0030559,cell,"Parietal Cells, Gastric"
C0031307,cell,Phagocytes
C0031760,cell,Photoreceptors
C0032112,cell,Plasma Cells
C0033416,cell,Promyelocytes
C0033731,cell,Protoplasts
C0034143,cell,Purkinje Cells
C0034964,cell,Regenerating muscle fiber
C0035286,cell,Reticulocytes
C0035316,cell,Retinal Ganglion Cells
C0036387,cell,Schwann Cells
C0036770,cell,Structure of sertoli cell
C0037857,cell,Spermatid
C0037866,cell,Spermatogonia
C0037868,cell,sperm cell
C0037890,cell,Spheroplasts
C0038250,cell,Stem cells
C0038856,cell,Suppressor T Lymphocyte
C0039194,cell,T-Lymphocyte
C0039195,cell,Cytotoxic T-Lymphocytes
C0039198,cell,Regulatory T-Lymphocytes
C0039215,cell,CD4 Positive T Lymphocytes
C0042542,cell,Vero Cells
C0079722,cell,"Lymphocytes, Tumor-Infiltrating"
C0085080,cell,Chinese Hamster Ovary Cell
C0085087,cell,3T3 Cells
C0085133,cell,Reed-Sternberg Cells
C0085236,cell,"Macrophages, Alveolar"
C0085262,cell,PC12 Cells
C0085820,cell,Antibody-Secreting Cells
C0085983,cell,"Cell Line, Tumor"
C0086574,cell,Lymphoid Cells
C0162597,cell,Stromal Cells
C0178708,cell,immortalized cell
C0205832,cell,Merkel Cells
C0206116,cell,Microglia
C0206131,cell,Adipocytes
C0206152,cell,Cell Transplants
C0206190,cell,"Macrophages, Peritoneal"
C0206427,cell,Rod Photoreceptors
C0206428,cell,Retinal Cone
C0206441,cell,Pyramidal Cells
C0206513,cell,Type 2 vestibular sensory cell
C0221282,cell,Schistocyte
C0221284,cell,Leptocyte
C0221910,cell,Squamous Epithelial Cells
C0222677,cell,Cell of bone
C0224522,cell,Synoviocytes
C0225332,cell,Fibrocyte
C0225335,cell,Mesothelial cell
C0225336,cell,Endothelial Cells
C0225338,cell,Columnar epithelial cell
C0225340,cell,Transitional Epithelial Cells
C0225356,cell,Myoepithelial cell
C0225360,cell,Myofibroblasts
C0225369,cell,Chondrocyte
C0225668,cell,Clara cell
C0225698,cell,Alveolar Epithelial Cells
C0225699,cell,Type-I Pneumocytes
C0225700,cell,Type-II Pneumocytes
C0225828,cell,"Myocytes, Cardiac"
C0227276,cell,Paneth Cells
C0227525,cell,Hepatocyte
C0227531,cell,Ito Cells
C0227599,cell,Transitional epithelial cell of urinary bladder
C0227650,cell,Juxtaglomerular cell
C0227651,cell,"Mesangial Cells, Kidney"
C0228008,cell,Primary spermatocyte
C0228071,cell,Ganglion cell
C0228072,cell,Large neuron
C0228075,cell,Small neuron
C0228078,cell,Partly differentiated neural cell
C0228088,cell,Bergmann astrocyte
C0228092,cell,Ependymal cell
C0229130,cell,Structure of corneal corpuscle
C0229216,cell,Amacrine Cells
C0229470,cell,Pillar cell
C0229471,cell,Phalangeal cell of cochlea
C0229472,cell,Cell of Hensen
C0229473,cell,Cell of Claudius
C0229525,cell,Endocrine Cells
C0229535,cell,Pituitary cell
C0229579,cell,Structure of thyroid parafollicular cell
C0229604,cell,Reticuloendothelial cell
C0229606,cell,Reticulum cell
C0229611,cell,Tissue neutrophil
C0229613,cell,lymphoblast
C0229616,cell,Small lymphocyte
C0229633,cell,myeloblast
C0229649,cell,Heterophil
C0229656,cell,Promonocyte
C0229657,cell,Plasmablast (cell)
C0229659,cell,Myelomonocyte
C0229892,cell,Lymph lymphocyte
C0229951,cell,Thymic epithelial cell
C0230518,cell,Mitotic cell
C0231044,cell,Structure of primordial sex cell
C0242245,cell,"Dendritic Cells, Follicular"
C0242598,cell,LLC-PK1 Cells
C0242629,cell,CD8-Positive T-Lymphocytes
C0242632,cell,T-helper cell type 1
C0242633,cell,T-helper cell type 2
C0242697,cell,Muscle Fibers
C0282501,cell,"Spheroids, Cellular"
C0282549,cell,HL-60 Cells
C0282560,cell,Caco-2 Cells
C0282639,cell,HT29 Cells
C0301863,cell,U lymphocyte
C0312737,cell,Immunologic cell
C0312738,cell,Pre-B Lymphocytes
C0312740,cell,Immune effector cell
C0312864,cell,Sensitized cell
C0312865,cell,Sensitized red cell
C0314587,cell,Colony-forming unit of granulocytic lineage (cell)
C0314596,cell,Spleen colony-forming unit
C0333717,cell,Abnormal cell
C0333721,cell,Fusiform cell
C0333723,cell,Folded cell
C0333727,cell,Signet ring cell
C0333735,cell,Gemistocyte
C0333742,cell,Syncytial cell
C0333827,cell,Monocytoid cell
C0333842,cell,Niemann-Pick cell
C0333843,cell,Myeloma cell
C0334227,cell,"Tumor cells, malignant"
C0376448,cell,Jurkat Cells
C0376702,cell,COS Cells
C0427526,cell,Large granular lymphocyte
C0427529,cell,Smear cell
C0427889,cell,Vaginal epithelial cell
C0440740,cell,Granulocyte-specific
C0440752,cell,Inflammatory cell
C0444641,cell,Synovial fluid cells
C0444746,cell,Endocyte
C0487470,cell,round cells
C0506994,cell,Goblet Cells
C0521392,cell,Peripheral motor neuron
C0524459,cell,Lower motor neuron
C0524977,cell,Intestinal L Cells
C0524979,cell,Enteroendocrine Cell
C0524980,cell,Enterochromaffin-like Cells
C0524983,cell,Gastrin-Secreting Cells
C0524984,cell,Somatostatin-Secreting Cells
C0545589,cell,Blood monocytic cell
C0552639,cell,tubular cells
C0553257,cell,Epithelial cell of renal tubule
C0596030,cell,Acinar Cell
C0596155,cell,Basal Cell
C0596208,cell,brain cell
C0596508,cell,Embryonic Stem Cells
C0596568,cell,fiber cell
C0596630,cell,granule cell
C0596698,cell,heterokaryon
C0596890,cell,MCF-7 Cells
C0596981,cell,Muscle Cells
C0596993,cell,Myeloid Progenitor Cells
C0596995,cell,Myoblasts
C0597032,cell,Neoplastic Cell
C0597447,cell,Sf9 cell line
C0597690,cell,WI38 cell
C0597694,cell,Xenopus oocyte
C0598088,cell,continuous cell line
C0598089,cell,established cell line
C0598090,cell,permanent cell line
C0598091,cell,stable cell line
C0598102,cell,polarized cell
C0598117,cell,stellate cell
C0598800,cell,Pericytes
C0598829,cell,Madin Darby Canine Kidney Cells
C0599455,cell,sperm protein
C0599757,cell,Microfold cell
C0599856,cell,Muscle satellite cell
C0600432,cell,K562 Cells
C0600531,cell,U937 Cells
C0677626,cell,hepatoma cell
C0677646,cell,crypt cell
C0682517,cell,animal cell line
C0682519,cell,rodent cell line
C0682520,cell,canine cell line
C0682521,cell,primate cell line
C0682523,cell,human cell line
C0682524,cell,fibroblast cell line
C0682526,cell,lymphoblastoid cell line
C0682538,cell,intact cell
C0682540,cell,spindle cell
C0682541,cell,polyhedral cell
C0682542,cell,ciliated cell
C0682544,cell,neutrophilic cell
C0682545,cell,Basophil cell
C0682552,cell,Parenchymal cell
C0682610,cell,Enterocytes
C0682638,cell,memory b cell
C0682639,cell,Memory T-Lymphocyte
C0682689,cell,neuron type
C0682694,cell,Inhibitory interneuron
C0682700,cell,Peripheral neuron
C0682701,cell,Central neuron
C0682702,cell,Cerebellar neuron
C0734999,cell,Exocrine cell
C0806036,cell,Renal epithelial cell
C0806987,cell,mononuclear cells
C0814005,cell,Neuroblast
C0814990,cell,neural cell line
C0814995,cell,Skin cell
C0814997,cell,Intestinal cell
C0814999,cell,thymocyte
C0815000,cell,neuroblastoma cell
C0815002,cell,GABAergic Neurons
C0815004,cell,Neural Crest Cells
C0872076,cell,Pluripotent Stem Cells
C0872362,cell,primitive cell
C0879593,cell,therapeutic autologous dendritic cells
C0882784,cell,Cell positive for CD11C antigen
C0882791,cell,Cell positive for CD13 antigen
C0882808,cell,Cell positive for CD19 antigen
