cui,type,name
C0000768,cgab,Congenital Abnormality
C0000772,cgab,Multiple congenital anomalies
C0001916,cgab,Albinism
C0003857,cgab,Congenital arteriovenous malformation
C0003886,cgab,Arthrogryposis
C0005754,cgab,Congenital blindness
C0006288,cgab,Bronchopulmonary Sequestration
C0008924,cgab,Cleft upper lip
C0009081,cgab,Congenital clubfoot
C0009363,cgab,Congenital ocular coloboma (disorder)
C0009691,cgab,Congenital cataract
C0011813,cgab,Dextrocardia
C0012241,cgab,Congenital anomaly of gastrointestinal tract
C0013274,cgab,Patent ductus arteriosus
C0013336,cgab,Dwarfism
C0013481,cgab,Ebstein Anomaly
C0013589,cgab,Ectromelia
C0015306,cgab,Hereditary Multiple Exostoses
C0016065,cgab,Polyostotic fibrous dysplasia
C0018798,cgab,Congenital Heart Defects
C0020256,cgab,Congenital Hydrocephalus
C0020534,cgab,Orbital separation excessive
C0020636,cgab,Congenital hypoplasia
C0020758,cgab,Congenital ichthyosis
C0023569,cgab,Levocardia
C0025958,cgab,Microcephaly
C0025990,cgab,Micrognathism
C0025995,cgab,Micromelia
C0026010,cgab,Microphthalmos
C0026499,cgab,Monosomy
C0027341,cgab,Nail-Patella Syndrome
C0027794,cgab,Neural Tube Defects
C0028326,cgab,Noonan Syndrome
C0029422,cgab,Osteochondrodysplasias
C0032897,cgab,Prader-Willi Syndrome
C0033770,cgab,Prune Belly Syndrome
C0035615,cgab,Right aortic arch (disorder)
C0036391,cgab,Schwartz-Jampel Syndrome
C0037221,cgab,Situs Inversus
C0037917,cgab,Spina Bifida Cystica
C0038475,cgab,Double structure
C0038476,cgab,Supernumerary structure
C0039685,cgab,Tetralogy of Fallot
C0080178,cgab,Spina Bifida
C0151490,cgab,Congenital anomaly of central nervous system
C0158644,cgab,Congenital anomaly of lung
C0158945,cgab,Congenital cytomegalovirus infection
C0175754,cgab,Agenesis of corpus callosum
C0220668,cgab,Congenital contractural arachnodactyly
C0220766,cgab,Congenital hypoplasia of adrenal gland
C0221218,cgab,Fordyce's disease
C0242387,cgab,Mandibulofacial Dysostosis
C0265218,cgab,Neu-Laxova syndrome
C0265221,cgab,Walker-Warburg congenital muscular dystrophy
C0265547,cgab,Longitudinal deficiency of limb
C0265660,cgab,Syndactyly of the toes
C0265776,cgab,Congenital atresia of bronchus
C0265783,cgab,Congenital hypoplasia of lung
C0265962,cgab,Ichthyosis linearis circumflexa
C0266251,cgab,"Gallbladder, Agenesis Of"
C0266294,cgab,Unilateral agenesis of kidney
C0266313,cgab,Allanson Pantzar McLeod syndrome
C0266343,cgab,Congenital obstruction of urethra
C0266449,cgab,Congenital anomaly of brain
C0266464,cgab,Polymicrogyria
C0266520,cgab,Feline dysautonomia
C0266568,cgab,Persistent Hyperplastic Primary Vitreous
C0266574,cgab,Ablepharon
C0266617,cgab,Congenital anomaly of face
C0266657,cgab,Immature fetus
C0266665,cgab,"Single monster, NOS"
C0266700,cgab,Janiceps (disorder)
C0268136,cgab,"Xeroderma pigmentosum, group B"
C0332885,cgab,Congenital stenosis
C0332907,cgab,Congenital absence
C0333006,cgab,congenital deficiency
C0344543,cgab,Aniridia type 2
C0344688,cgab,Patent Ductus Venosus
C0344706,cgab,Right atrial appendage aneurysm
C0344893,cgab,Right ventricular dilatation
C0344900,cgab,Right ventricular outflow tract obstruction
C0344911,cgab,Left ventricular dilatation
C0345200,cgab,Congenital dysmotility of small intestine
C0376634,cgab,Craniofacial Abnormalities
C0392475,cgab,Roberts-SC phocomelia syndrome
C0406775,cgab,Symmetrical dyschromatosis of extremities
C0432081,cgab,Incomplete cleft palate NOS
C0432292,cgab,Familial expansile osteolysis
C0432355,cgab,Hypoplasia of nipple
C0474863,cgab,Retroesophageal subclavian artery
C0497552,cgab,Congenital neurologic anomalies
C0542519,cgab,Congenital absence of kidney
C0559483,cgab,Pentalogy of Cantrell
C0600031,cgab,Congenital absence of spleen
C0679378,cgab,neurodevelopmental anomaly
C0685205,cgab,Leptocephaly (disorder)
C0685682,cgab,Single naris
C0685787,cgab,Cleft face
C0685894,cgab,Congenital absence of thymus
C0750929,cgab,"Arnold-Chiari Malformation, Type I"
C0796070,cgab,"MICROPHTHALMIA, SYNDROMIC 7"
C0948368,cgab,Kaufman-McKusick syndrome
C1290495,cgab,Congenital portal-systemic shunt
C1404153,cgab,Valve anomalies
C1619700,cgab,RENAL ADYSPLASIA
C1705254,cgab,Neonatal Deformity
C1720771,cgab,Testicular Hydrocele
C1845668,cgab,Perisylvian syndrome
C1865866,cgab,Congenital sensorineural hearing loss
C1866730,cgab,Rhizomelia
C2205378,cgab,small left kidney
C2676137,cgab,Diamond-Blackfan Anemia 1
C2677180,cgab,Congenital microcephaly
C3710589,cgab,Cap Myopathy
C4049005,cgab,"Cataract, total congenital with posterior sutural opacities in Heterozygotes"
C4275029,cgab,Maternal uniparental disomy of chromosome 20
C4277690,cgab,Ciliopathies
