cui,type,name
C0080202,clas,T-Lymphocyte Subsets
C0221444,clas,clinical syndromes
C0441729,clas,Type 1
C0441730,clas,Type 2
C0441731,clas,Type 3
C0441837,clas,Group C
C0441838,clas,Group D
C0441840,clas,Group F
C0441885,clas,Class 1
C0443055,clas,Sari microbial strain
C0449560,clas,Subtype (attribute)
C0475455,clas,T - Tumor stage
C0521184,clas,Atypical squamous cells of uncertain significance
C0807679,clas,Radiology studies
C1444005,clas,Human to human transmission
C1515021,clas,Subgroup
C1516726,clas,Common Scientific Outline NCI
C1517886,clas,Limited stage (cancer stage)
C1705920,clas,Species
C1708235,clas,Genus
C1710441,clas,Total Nottingham Score
C1959638,clas,H group
C1959644,clas,P group
C2348291,clas,Digital Object Identifier
C2825217,clas,Union
C2827421,clas,Construct
C4081854,clas,High intensity
C4082133,clas,Not prepared
C4264487,clas,Type A
C4521691,clas,United States Military enlisted E2
C4522078,clas,Group B
