cui,type,name
C0001288,dora,Activities of Daily Living (activity)
C0006811,dora,Camping (activity)
C0008067,dora,Child Care
C0009487,dora,Commuting
C0010963,dora,Dancing
C0015259,dora,Exercise
C0016517,dora,Football game
C0018041,dora,Golf
C0020748,dora,Ice Hockey
C0022400,dora,Jogging
C0023292,dora,Leisure Activities
C0026606,dora,Physical activity
C0032214,dora,Play
C0034754,dora,Reading (activity)
C0034872,dora,recreational activity
C0035253,dora,Rest
C0035953,dora,Running (physical activity)
C0038039,dora,Sports
C0039003,dora,Swimming
C0040802,dora,travel
C0043261,dora,Wrestling
C0079801,dora,Martial Arts
C0080204,dora,Tae Kwon Do
C0080331,dora,Walking (activity)
C0150593,dora,game
C0150768,dora,Shopping (activity)
C0221189,dora,Jumping
C0242298,dora,Fostering
C0336924,dora,Contact sport
C0441661,dora,Everyday tasks
C0680152,dora,adventure
C0681204,dora,pilgrimage
C0681655,dora,Water Sports
C0681662,dora,olympics
C0683587,dora,tourism
C0700382,dora,"Washing hands, function"
C0868963,dora,Gardening
C0868977,dora,knitting
C0871707,dora,daily activities
C1279744,dora,Daily bathing
C1290952,dora,Taking medication (activity)
C1456706,dora,Fitness
C1513375,dora,Moderate Exercise
C1514989,dora,Strenuous Exercise
C1517883,dora,Light Exercise
C1998602,dora,Meal (occasion for eating)
C2584310,dora,Shuffling
C2987222,dora,Hard Work
C3489667,dora,Air Travel
C3890554,dora,Physical Inactivity
C4019053,dora,Arising
C4255216,dora,Hunting
C4255280,dora,Hiking
C4279936,dora,Exercise Training
