cui,type,name
C0001246,elii,Actinium
C0002367,elii,Aluminum
C0003075,elii,Anions
C0003380,elii,Antimony
C0003781,elii,Argon
C0003818,elii,Arsenic
C0004749,elii,Barium
C0005642,elii,Bismuth
C0006223,elii,Bromine
C0006632,elii,Cadmium
C0007009,elii,Carbon
C0007010,elii,Carbon Black
C0007017,elii,Carbon Isotopes
C0007955,elii,Charcoal
C0008209,elii,Chlorine
C0011744,elii,Deuterium
C0013880,elii,"Elements, Radioactive"
C0015180,elii,Europium
C0016911,elii,Gadolinium
C0016980,elii,Gallium
C0017112,elii,Noble Gases
C0017479,elii,Germanium
C0018026,elii,Gold
C0018488,elii,Hafnium
C0018544,elii,Halogens
C0018880,elii,Helium
C0020275,elii,Hydrogen
C0021223,elii,Indium
C0022023,elii,Ions
C0022262,elii,Isotopes
C0022792,elii,Krypton
C0023031,elii,Lanthanum
C0023175,elii,Lead
C0023870,elii,Lithium
C0025424,elii,Mercury
C0025556,elii,"Metals, Rare Earth"
C0027608,elii,Neon
C0028101,elii,Niobium
C0028158,elii,Nitrogen
C0029383,elii,Osmium
C0030054,elii,Oxygen
C0030230,elii,Palladium
C0031705,elii,Phosphorus
C0032207,elii,Platinum
C0033727,elii,Protons
C0034595,elii,Radioisotopes
C0034629,elii,Radon
C0035493,elii,Rhodium
C0035930,elii,Rubidium
C0035973,elii,Ruthenium
C0038774,elii,Sulfur
C0038836,elii,Superoxides
C0039297,elii,Tantalum
C0039411,elii,Technetium
C0039462,elii,Tellurium
C0039738,elii,Thallium
C0040302,elii,Titanium
C0041119,elii,Tritium
C0041383,elii,tungsten
C0041928,elii,Uranium
C0043339,elii,Xenon
C0043506,elii,Zirconium
C0053548,elii,Bicarbonate Ions
C0057717,elii,Diamond
C0058347,elii,Dioxygen
C0065207,elii,LR gold
C0071526,elii,polycations
C0082568,elii,ferryl iron
C0205838,elii,Lanthanoid Series Elements
C0220853,elii,Hydroxide Ion
C0260055,elii,Liquid nitrogen
C0301294,elii,Nitrogen gas
C0302918,elii,Stable isotope
C0302920,elii,Molecular oxygen
C0302945,elii,Carbon-14
C0303029,elii,iodine I-131
C0303403,elii,Indium-111
C0303611,elii,Technetium 99m
C0347988,elii,"Metals, Heavy"
C0567415,elii,Atom (substance)
C0589331,elii,Lead salt
C0596019,elii,Chloride Ion
C0596235,elii,Calcium ion
C0596455,elii,divalent metal
C0600069,elii,Total calcium
C0655714,elii,TE 5
C0682906,elii,Transition Elements
C0700308,elii,Protium
C0723796,elii,Trace metal
C0851287,elii,Phosphorus 32
C1708097,elii,Fragment Ion
C2346521,elii,zinc cation
C2346592,elii,Ferrous
C2346661,elii,Pb2+
C2346854,elii,arsenic cation
C2346927,elii,Magnesium Cation
C2347051,elii,Manganese Cation (2+)
C2347052,elii,Mn3+
C2347108,elii,Mercury(1+)
C2347816,elii,cobaltous cation
C2348266,elii,Dietary Fluorine
C2348288,elii,Dietary Zinc
C2348951,elii,Heme Iron
C2349104,elii,V4+
C2349105,elii,Vanadium 5+
C2349968,elii,Boron 3+
C2349970,elii,S4+
C2700605,elii,chromic cation
C2828294,elii,iodide ion I-131
C2936695,elii,Graphene
C3495673,elii,IODIDE ION I-123
C3536965,elii,Sulfate Ion
C3643615,elii,Triumph
C3848561,elii,ferric cation
C3848570,elii,iodide ion
C3848573,elii,nitrate ion
C4546830,elii,Bismuth-213
C4546912,elii,Oxygen-15
