cui,type,name
C0000781,emst,Aborted Fetus (structure)
C0002084,emst,Structure of allantois
C0002630,emst,Structure of amnion
C0005705,emst,Embryo stage 3 structure
C0008046,emst,Chick Embryo
C0008503,emst,Chorion
C0008508,emst,Chorionic villi
C0013574,emst,Ectoderm
C0013702,emst,Egg Shell
C0013935,emst,Embryo
C0015935,emst,Fetal Heart
C0015943,emst,Fetal Membranes
C0015965,emst,Fetus
C0027789,emst,Neural Crest
C0032043,emst,Placenta
C0033151,emst,Primitive Gut
C0041178,emst,trophoblast
C0041633,emst,Umbilical cord structure
C0041637,emst,Umbilical vein
C0043425,emst,Yolk Sac
C0043544,emst,Structure of zygote
C0162415,emst,Mesenchyma
C0178551,emst,chorioallantoic membrane
C0230960,emst,Structure of cytotrophoblast
C0230984,emst,Structure of placental membrane
C0230999,emst,embryo and fetus
C0231002,emst,Structure of extraembryonic mesoblast
C0231117,emst,Fetal head
C0231131,emst,Fetal bones
C0391914,emst,Pupillary membrane
C0440731,emst,Fetal brain
C0694695,emst,Placental tissue sample
C0814993,emst,Neural Fold
C0815005,emst,radial glia
C0868971,emst,Human embryo
C0920487,emst,embryo cell
C0920502,emst,Embryonic tissue
C0920514,emst,fetus cell
C1135936,emst,Syncytiotrophoblasts
C1268513,emst,Entire embryo stage 2
C1278988,emst,Entire placenta
C1281491,emst,Structure of embryo stage 8
C1281743,emst,Blastocyst structure
C1283994,emst,Inner cell mass
C1305370,emst,Entire embryo
C1514441,emst,Primordial follicles
C1516779,emst,Conceptus
C1516818,emst,Embryonic ear
C1516825,emst,Embryonic nervous system
C1516826,emst,Embryonic palate
C1516906,emst,Epiblast
C1517161,emst,Fetal Kidney
C1517162,emst,Fetal Liver
C1517163,emst,Fetal Lung
C1518271,emst,Neuroectoderm
C1947950,emst,Embryonic Cell
C1955872,emst,Blastodisc
C1956416,emst,"Embryo, Mammalian"
C2331344,emst,Definitive endoderm
C2335060,emst,Intermediate trophoblast
C2335680,emst,Fetal organ
C3272697,emst,Remnant
C4239547,emst,Fetal tongue
C4239945,emst,Fetal skin
C4242395,emst,Fetal epithelium
C4242435,emst,Rhombomere 3
C4242696,emst,Palatal shelf
C4243022,emst,Embryonic brain
C4244630,emst,Fetal nasal septum
C4246189,emst,Developmental organ
C4247535,emst,Fetal mesenchyme
C4250370,emst,Head mesoderm
