cui,type,name
C0001967,food,Alcoholic Beverages
C0003050,food,Animal feed (substance)
C0004722,food,Banana
C0004896,food,Beans (food)
C0004922,food,Beer
C0005135,food,Berries
C0005329,food,Beverages
C0006855,food,Candy
C0007757,food,Cereals
C0007968,food,Cheese
C0008037,food,Chewing Gum (food)
C0009076,food,Clove
C0009237,food,Coffee
C0010029,food,Corn Oil
C0010947,food,Dairy Products
C0012155,food,Diet
C0012171,food,Dietary Fats
C0012173,food,Dietary Fiber
C0013710,food,Egg Food Product
C0016260,food,Flour
C0016452,food,Food
C0016453,food,Food Additives
C0016494,food,"Food, Canned"
C0016500,food,"Food, Preserved"
C0016767,food,Fruit
C0019233,food,"Teas, Herbal"
C0019906,food,Honey
C0025017,food,Meat
C0026157,food,Mineral Waters
C0028723,food,Nuts
C0028753,food,Oats (Dietary)
C0032099,food,"Plants, Edible"
C0032852,food,Poultry Products
C0037511,food,Sodium Glutamate
C0037732,food,Soybean Oil
C0037733,food,Soybeans
C0037910,food,Spices
C0039400,food,Tea
C0041356,food,Tumeric
C0042438,food,Vegetable Oils
C0042440,food,Vegetables
C0043138,food,Wheat Bran
C0043188,food,Wine
C0043419,food,Yogurt
C0054599,food,canola oil
C0056060,food,Coconut Oil
C0069962,food,Palm Oil
C0150589,food,Infant formula
C0206136,food,"Sodium Chloride, Dietary"
C0206208,food,Seafood
C0237492,food,Nonalcoholic Beverages
C0242295,food,Dietary Supplements
C0242772,food,Tomatoes
C0344355,food,Fast Foods
C0349374,food,Cow's milk
C0349966,food,Figs - dietary
C0359583,food,enrich
C0440277,food,Orange (fruit)
C0440286,food,Almond Nut
C0440288,food,Hazelnuts
C0440466,food,Hen's egg
C0444615,food,Sugar - food
C0452245,food,Lager
C0452263,food,Vodka
C0452428,food,Drink (dietary substance)
C0452440,food,Tea without milk
C0452470,food,Stout
C0452741,food,Soy Milk
C0452848,food,Red Meat
C0452867,food,Pork
C0452888,food,Poultry Meat
C0452943,food,Salami
C0452945,food,Sausage
C0452946,food,Frankfurter
C0453017,food,Fatty fish
C0453018,food,Bacha
C0453108,food,Artichoke
C0453233,food,Tofu
C0453268,food,Fresh fruit
C0453289,food,Pomegranate
C0453309,food,Prunes
C0453344,food,Macadamia Nut
C0453451,food,Toffee
C0453740,food,Salad
C0453834,food,Contaminated food
C0453855,food,Solid food
C0453860,food,Raw Foods
C0453861,food,Rich food
C0453863,food,Snacks
C0458975,food,Hominy
C0458983,food,Cornmeal
C0459815,food,Cashew nut
C0524877,food,Parsnips - dietary
C0556112,food,Mineral supplements
C0597423,food,Saturated fat
C0677521,food,Chicken Meat
C0678420,food,Cocktail
C0678695,food,Nutrients
C0681562,food,food product
C0681574,food,sugar cane
C0725694,food,comply
C0771806,food,soya flour
C0950154,food,"Food, Genetically Modified"
C0973452,food,Kidney Bean (Dietary)
C1138601,food,Pear (Dietary)
C1257811,food,Cultured Milk Products
C1268568,food,Juice
C1327962,food,POMEGRANATE JUICE
C1384515,food,cornstarch
C1510451,food,French fries
C1517288,food,Food Oil
C1518478,food,Nutraceuticals
C1532456,food,Soy bean product
C2717755,food,Functional Food
C2936470,food,Synbiotics
C2947019,food,Pivot
C2983588,food,Basal Diet
C3489624,food,Soft Drinks
C3714627,food,Tree nut
C3853222,food,Sea urchin - dietary
C4084254,food,REPLETE
C4543503,food,Sandwich
