cui,type,name
C0000901,humn,acceptors
C0001588,humn,"Adolescents, Female"
C0001589,humn,"Adolescents, Male"
C0001675,humn,Adult
C0001792,humn,Elderly (population group)
C0001795,humn,"Aged, 80 and over"
C0002049,humn,Aliens
C0002122,humn,Allied Health Personnel
C0002460,humn,American Indians
C0003183,humn,Anthropologist
C0003988,humn,Asian Americans
C0005680,humn,Black race
C0005795,humn,Blood donor
C0007294,humn,Genetic Carriers
C0007457,humn,Caucasoid Race
C0007667,humn,Centenarians
C0008059,humn,Child
C0008098,humn,"Child, Hospitalized"
C0008100,humn,"Child, Preschool"
C0008942,humn,Clients
C0009484,humn,community worker
C0009817,humn,Consultant
C0009932,humn,Control Groups
C0010082,humn,Coroners
C0010222,humn,Couples (persons)
C0010331,humn,crippled
C0011011,humn,Daughter
C0011327,humn,Dental Assistants
C0011328,humn,Dental Auxiliaries
C0011420,humn,Dental Staff
C0011441,humn,Dentist
C0013018,humn,Donor person
C0013135,humn,dropout
C0013331,humn,Dutch Population
C0013913,humn,Embalmer
C0013963,humn,Emergency Medical Technicians
C0014845,humn,Eskimo Population
C0015031,humn,Ethnic group
C0015341,humn,Extended Family
C0015535,humn,Faculty
C0015537,humn,"Faculty, Medical"
C0015576,humn,Family
C0015621,humn,Famous Persons
C0015671,humn,Father (person)
C0016075,humn,fieldwork
C0016400,humn,Focus Groups
C0018103,humn,Governing Board
C0018422,humn,Roma ethnic group
C0018676,humn,"Nurses, Head"
C0019898,humn,Homosexuals
C0020052,humn,Households
C0020155,humn,Human Volunteers
C0021270,humn,Infant
C0021288,humn,Low Birth Weight Infant
C0021289,humn,"Infant, Newborn"
C0021294,humn,"Infant, Premature"
C0021729,humn,Interest Groups
C0021821,humn,Interviewers
C0022866,humn,Labor Force
C0023226,humn,Legal Guardians
C0024045,humn,Low-Income Population
C0024908,humn,Matched Groups
C0025081,humn,Physician Executives
C0025082,humn,"Examiner, Medical"
C0025106,humn,Medical Staff
C0025266,humn,Male population group
C0025360,humn,Mentally Ill Persons
C0025369,humn,Mentors
C0026065,humn,Middle Class Population
C0026083,humn,Midwife
C0026092,humn,Migrant Workers
C0026093,humn,Migrants
C0026126,humn,Military Personnel
C0026192,humn,Minority Groups
C0026591,humn,Mother (person)
C0026753,humn,Multiple Birth Offspring
C0026767,humn,Multiple Partners
C0026870,humn,Muslim population group
C0027567,humn,African race
C0028296,humn,Nonagenarians
C0028574,humn,Nuclear Family
