cui,type,name
C0000849,inbe,Absenteeism
C0001072,inbe,Achievement
C0001948,inbe,Alcohol consumption
C0008300,inbe,Choice Behavior
C0009671,inbe,Conflict (Psychology)
C0010399,inbe,Crying
C0010472,inbe,Curiosity
C0011142,inbe,Defense Mechanisms
C0012625,inbe,Disclosure
C0013989,inbe,Empathy
C0015365,inbe,Extramarital Relations
C0015745,inbe,Feeding behaviors
C0015748,inbe,Feeding Patterns
C0016468,inbe,Food Habits
C0018249,inbe,Grooming
C0018464,inbe,Behaviorial Habits
C0018687,inbe,Health behavior
C0018695,inbe,Health Care Seeking Behavior
C0021125,inbe,Impulsive Behavior
C0022867,inbe,Labor Migration
C0026530,inbe,Morale
C0028765,inbe,Obsessive Behavior
C0031166,inbe,permissiveness
C0033023,inbe,Prejudice
C0034634,inbe,Rage
C0035154,inbe,Reproductive Behavior
C0036240,inbe,Satiety Response
C0036597,inbe,Self Esteem
C0036864,inbe,Sex Behavior
C0037369,inbe,Smoking
C0037401,inbe,Social Characteristics
C0039475,inbe,Temperance
C0042978,inbe,Voting
C0080340,inbe,Woman's Role
C0085134,inbe,Cessation of smoking
C0085880,inbe,"Behavior, Adaptive"
C0086152,inbe,Dietary Habits
C0086931,inbe,Risk Behavior
C0150499,inbe,Caring
C0234880,inbe,Baying
C0234888,inbe,Squealing
C0237121,inbe,Health-related behavior
C0237657,inbe,professional identity
C0237919,inbe,athletic training
C0237935,inbe,Trust (Social Behavior)
C0242205,inbe,"Breast Feeding, Exclusive"
C0242659,inbe,Female Homosexuality
C0281875,inbe,Illicit medication use
C0281991,inbe,steroid use
C0302595,inbe,Skin tanning
C0337667,inbe,Cigarette smoker (finding)
C0424348,inbe,Defiance
C0439656,inbe,Voluntary
C0453996,inbe,Tobacco smoking behavior
C0542299,inbe,Behavioral change
C0558294,inbe,Submissive behavior
C0596764,inbe,impression (attitude)
C0596775,inbe,Information Seeking Behavior
C0597431,inbe,self help
C0599788,inbe,care seeking
C0600549,inbe,Tobacco Use Cessation
C0678341,inbe,responsibility
C0678856,inbe,skill
C0679005,inbe,Social Skills
C0679008,inbe,leadership skills
C0679163,inbe,good behavior
C0679180,inbe,planned behavior
C0679190,inbe,defensive behavior
C0679782,inbe,condom use
C0679788,inbe,unhealthy behavior
C0680038,inbe,membership
C0680212,inbe,self-sufficiency
C0680458,inbe,Recidivism
C0683253,inbe,"Resilience, Psychological"
C0683293,inbe,sentiments
C0683303,inbe,RISK-TAKING BEHAVIOR
C0683573,inbe,personal experience
C0684274,inbe,Self-control as a personality trait
C0699778,inbe,intravenous drug use
C0814103,inbe,safe behavior
C0814514,inbe,health care use
C0871633,inbe,desire
C0871902,inbe,seriousness
C0950156,inbe,Financial Disclosure
C1154323,inbe,flight behavior
C1154343,inbe,locomotory behavior
C1319206,inbe,Adaptive behavior: newborn
C1321107,inbe,Health seeking behavior
C1321605,inbe,Compliance behavior
C1512346,inbe,Patient Visit
C1519022,inbe,Personal Behavior
C1635178,inbe,Crawling
C2752984,inbe,foraging behavior
C3494474,inbe,Hand Hygiene
C3824797,inbe,Information behavior
C3826173,inbe,Human behavior
C4277664,inbe,Healthy Lifestyle
C4505138,inbe,Water Pipe Smoking
C4505437,inbe,Smoking Habit
