cui,type,name
C0002055,inch,Alkalies
C0002154,inch,Alloys
C0002371,inch,Aluminum Hydroxide
C0002372,inch,Aluminum Hydroxide Gel
C0002374,inch,Aluminum Oxide
C0002611,inch,Ammonium
C0002615,inch,Ammonium Chloride
C0004754,inch,Barium Sulfate
C0005018,inch,Bentonite
C0005367,inch,Bicarbonates
C0006020,inch,boric acid
C0006222,inch,Bromides
C0006686,inch,Calcium Chloride
C0006711,inch,calcium phosphate
C0006721,inch,Gypsum
C0007026,inch,Carbonates
C0007027,inch,Carbonic Acid
C0008203,inch,Chlorides
C0008838,inch,Cisplatin
C0009132,inch,Coal dust
C0009359,inch,Gold Colloid
C0010505,inch,Cyanides
C0010511,inch,Cyanogen Bromide
C0011745,inch,Deuterium Oxide
C0013239,inch,Dry Ice
C0013832,inch,Electrolytes
C0015864,inch,Ferricyanides
C0016327,inch,Fluorides
C0020231,inch,Hydrazine
C0020259,inch,Hydrochloric Acid
C0020281,inch,Hydrogen Peroxide
C0020362,inch,Hydroxylamine
C0020600,inch,Hypochlorous Acid
C0020746,inch,Ice
C0021966,inch,Iodides
C0022499,inch,Kaolin
C0024472,inch,Magnesium Chloride
C0024480,inch,Magnesium Sulfate
C0025423,inch,calomel
C0025552,inch,Metals
C0026162,inch,Minerals
C0028167,inch,Nitrogen Oxides
C0028215,inch,Nitrous Oxide
C0029366,inch,Orthovanadate
C0030015,inch,Oxides
C0030981,inch,Perchloric Acid
C0031180,inch,Peroxides
C0031603,inch,Phosphates
C0031700,inch,Phosphoric acid
C0031730,inch,Phosphotungstic Acid
C0032575,inch,Polyphosphates
C0032825,inch,Potassium Chloride
C0032831,inch,Potassium Iodide
C0032838,inch,Potassium Permanganate
C0034320,inch,Diphosphates
C0034387,inch,Quartz
C0035975,inch,Ruthenium Red
C0036085,inch,"Saline Solution, Hypertonic"
C0036580,inch,Selenite
C0037098,inch,Silicon Dioxide
C0037505,inch,Sodium Dithionite
C0037508,inch,Sodium Fluoride
C0037518,inch,Sodium Hypochlorite
C0037521,inch,Sodium Iodide
C0037568,inch,Sodium Vanadate
C0037570,inch,"Sodium, Dietary"
C0038126,inch,Stainless Steel
C0038225,inch,Steam
C0038239,inch,Steel
C0038720,inch,"Sulfates, Inorganic"
C0038779,inch,Sulfur Hexafluoride
C0038784,inch,Sulfuric acid
C0039267,inch,Talc
C0042305,inch,Vanadates
C0043047,inch,Water
C0043491,inch,Zinc Oxide
C0051511,inch,aluminum chlorohydrate
C0051522,inch,aluminum sulfate
C0051710,inch,ammonium bromide
C0051719,inch,ammonium hydroxide
C0052416,inch,arsenic trioxide
C0052418,inch,arsenite
C0052422,inch,arsenous acid
C0052657,inch,attapulgite
C0053787,inch,bismuth oxychloride
C0053931,inch,bone meal
C0053942,inch,Borax
C0055134,inch,cesium chloride
C0055330,inch,chloramine
C0055370,inch,chlorine dioxide
C0055629,inch,chromium sulfate
C0055863,inch,clay
C0056036,inch,cobaltous chloride
C0056301,inch,Copper Sulfate
C0056599,inch,cupric sulfide
C0060229,inch,ferric chloride
C0060240,inch,ferric oxide
C0060282,inch,ferrous sulfate
C0060932,inch,gadolinium chloride
C0061008,inch,gallium nitrate
C0061790,inch,gold chloride
C0063070,inch,hydrazoic acid
C0063146,inch,Hydroxyl Radical
C0064711,inch,lead acetate
C0065088,inch,Lithium Chloride
C0065089,inch,lithium fluoride
C0065092,inch,lithium perchlorate
C0065094,inch,lithium sulfate
C0066000,inch,mercury-selenium complex
C0066503,inch,Mica
C0068853,inch,nitrones
C0068882,inch,nitroxyl
C0070417,inch,perhydroxyl radical
C0071755,inch,potassium carbonate
C0071767,inch,Potassium Hydroxide
C0071778,inch,potassium phosphate
C0073386,inch,Ringer's solution
C0074719,inch,sodium arsenite
C0074722,inch,Sodium Bicarbonate
C0074725,inch,sodium bisulfide
C0074726,inch,sodium bisulfite
C0074727,inch,sodium borate
C0074728,inch,sodium borohydride
C0074738,inch,sodium cyanoborohydride
C0074744,inch,sodium metabisulfite
C0074745,inch,metaperiodate
C0074748,inch,sodium nitrate
C0074752,inch,sodium perchlorate
C0074754,inch,sodium peroxide
C0074757,inch,sodium phosphate
C0074769,inch,sodium sulfate
C0074770,inch,sodium sulfide
C0074771,inch,sodium sulfite
C0074773,inch,sodium thiocyanate
C0074774,inch,sodium thiosulfate
C0076733,inch,titanium dioxide
C0077513,inch,tungstate
C0078755,inch,Zeolites
C0081817,inch,bismuth nitrate
C0083236,inch,lithium hydroxide
C0086954,inch,Sapphire
C0103202,inch,anatase
C0104238,inch,arsenate
C0122723,inch,hydrazine hydrate
C0136082,inch,perchlorate
C0138038,inch,Monobasic potassium phosphate
C0141060,inch,rutile
C0142906,inch,sodium metaperiodate
C0142923,inch,Sodium Selenite
C0145675,inch,thiophosphate
C0146894,inch,triphosphate
C0165528,inch,Flecks
C0173834,inch,Procera
C0178522,inch,boronic acid
C0178847,inch,silane
C0183528,inch,Hydrogen Peroxide Disinfectant
C0205813,inch,Kaolinite
C0206108,inch,Gold Compounds
C0206443,inch,Vanadium Compounds
C0208291,inch,biotite
C0211241,inch,cesium bromide
C0243417,inch,hectorite
C0256231,inch,"sodium calcium aluminosilicate, hydrated"
C0301008,inch,"triphosphoric acid, sodium salt"
C0302201,inch,Barium salt
C0302213,inch,Lithium salt
C0302917,inch,Lewis Acids
C0302921,inch,Strong acid
C0302923,inch,phosphonic acid
C0302951,inch,Pyrophosphate salt
C0302965,inch,Sulfate salt
C0303186,inch,Copper compound
C0303749,inch,Bleach
C0303752,inch,Slate
C0303840,inch,Hydroxylamine Hydrochloride
C0337023,inch,Hot water
C0337055,inch,Salt water
C0351297,inch,Potassium salt
C0351302,inch,Sodium salts
C0351669,inch,Zinc salts
C0357197,inch,Calcium salt
C0359299,inch,sterile water
C0360641,inch,Calcium + magnesium
C0376520,inch,Dietary Iron
C0439892,inch,Boiled water
C0445115,inch,Normal saline
C0457555,inch,Halide
C0458081,inch,Silver salts
C0475871,inch,Aluminum salts
C0543134,inch,Balanced salt solution
C0596072,inch,amino group
C0596079,inch,aminophosphonate
C0596259,inch,carbonyl group
C0596260,inch,Carboxyl Group
C0597565,inch,tertiary amine
C0599533,inch,phosphorothioate
C0621573,inch,triethylammonium bicarbonate
C0625930,inch,polyphosphoric acid
C0632310,inch,strontium carbonate
C0646029,inch,aluminum hydroxyphosphate
C0660914,inch,molybdenum disulfide
C0663812,inch,pyrophosphoric acid
C0678717,inch,dioxide
C0700307,inch,hydroxyl group
C0722381,inch,Oyster Shell
C0723196,inch,Saline Mist
C0723198,inch,Saline Spray
C0723457,inch,Stop brand of fluoride
C0724534,inch,Bacteriostat
C0733547,inch,Clorox
C0733770,inch,Alhydrogel
C0757156,inch,fortune
C0772024,inch,"Sodium Phosphate, Dibasic"
C0772046,inch,Magnesium sulfate heptahydrate
C0772313,inch,colloidal silver
C0784217,inch,salt substitutes
C0790233,inch,Distilled water
C0876023,inch,elemental iron
C0885481,inch,"Kali ferrocyanatum, Prussian blue, Homeopathic preparation"
C0885614,inch,"Natrium nitrosum, nitrate of sodium, trituration, Homeopathic preparation"
C0896246,inch,phosphoramidate
C0936225,inch,Inorganic arsenic
C0991883,inch,purified water
C1274086,inch,Zinc sulfate monohydrate
C1289967,inch,Hydrochloric acid solution
C1512523,inch,hydrochloride
C1550678,inch,Water Specimen
C1568662,inch,Pb(Zr(0.52)Ti(0.48))O(3)
C1601799,inch,phosphate ion
C1657051,inch,"Potassium carbonate, anhydrous"
C1956739,inch,amorphous calcium phosphate
C2000128,inch,sodium hydride
C2350022,inch,Water Vapor
C2742118,inch,cesium carbonate
C2742538,inch,polyoxometalate
C2919405,inch,Tap water
C2936385,inch,Silica Gel
C2959956,inch,Swimming pool water
C3179004,inch,Potable Water
C3536832,inch,Air
C3536923,inch,Silver Compounds
C4505224,inch,Greenhouse Gases
