cui,type,name
C0004171,inpr,Atlases
C0005810,inpr,Blood Group (classification)
C0009458,inpr,Communications Media
C0010101,inpr,Correlation Study
C0021428,inpr,Information Systems
C0021822,inpr,Interview
C0024763,inpr,Manuals as Topic
C0024779,inpr,Map
C0025663,inpr,Methods
C0034036,inpr,Publications
C0038137,inpr,standards characteristics
C0040712,inpr,Language Translations
C0162443,inpr,Journal
C0282111,inpr,Internet
C0282440,inpr,Randomized Controlled Trials as Topic
C0441766,inpr,Stage level 1
C0441833,inpr,Groups
C0441926,inpr,Level II
C0443147,inpr,Autosomal dominant inheritance
C0449335,inpr,Method of detection
C0449379,inpr,Connection
C0449475,inpr,cell type
C0449572,inpr,Virus type
C0449943,inpr,Serotype
C0456949,inpr,Level 3
C0681295,inpr,communication issues
C0681304,inpr,information program
C0681906,inpr,Patient Self-Report
C0729619,inpr,Computed tomography imaging - action
C0870536,inpr,f test
C0871472,inpr,t test
C0871907,inpr,sign test
C0920317,inpr,Meta Analysis (statistical procedure)
C0920631,inpr,patient registry
C1549592,inpr,HIV(+) patient
C1553495,inpr,monitoring program
C1708614,inpr,Kruskal-Wallis Test
C2986843,inpr,Input Function
C3161035,inpr,Model
C3483759,inpr,Infection panel
C3540695,inpr,Anatomical Therapeutic Chemical (ATC)-classification system
C3714478,inpr,Medical Information Systems
C3858542,inpr,initial population
C4085660,inpr,Memorial Symptom Assessment Scale
