cui,type,name
C0005443,lbtr,Bilirubinuria
C0005798,lbtr,Blood Flow Velocity
C0005938,lbtr,Bone Density
C0015563,lbtr,False Positive Reactions
C0019029,lbtr,Hemoglobin concentration result
C0021610,lbtr,Inspiratory Capacity
C0030058,lbtr,oxygen extraction
C0162119,lbtr,Hemoglobin low
C0205557,lbtr,False Positive
C0205558,lbtr,False Negative
C0231999,lbtr,Airflow
C0232011,lbtr,Pleural pressure
C0232021,lbtr,Peak inspiratory pressure
C0233243,lbtr,Apgar score 1
C0241234,lbtr,Sputum: eosinophilia
C0301669,lbtr,Decreased uric acid level
C0312544,lbtr,Serologic titer
C0332550,lbtr,Increased translucency
C0368930,lbtr,Coagulation time measurement
C0427544,lbtr,Monocytopenia
C0427728,lbtr,Blood concentration results
C0427861,lbtr,Human cells
C0427909,lbtr,Monosodium urate crystals
C0428094,lbtr,Gross pathology
C0428519,lbtr,Albumin level - finding
C0428536,lbtr,Immunoglobulin level - finding
C0428548,lbtr,Glucose level - finding
C0428554,lbtr,Finding of blood glucose level
C0428642,lbtr,Pulmonary artery pressure
C0428763,lbtr,Temporal resolution
C0428772,lbtr,Left ventricular ejection fraction
C0429681,lbtr,Static lung compliance
C0458072,lbtr,Hepatitis C immune
C0483191,lbtr,cd4 and cd8+
C0486291,lbtr,albumin concentration
C0521144,lbtr,Seronegative
C0549448,lbtr,Hemoglobin increased
C0600061,lbtr,Serum creatinine level
C0812425,lbtr,S-Phase Fraction
C0849541,lbtr,skin test results
C1261430,lbtr,Fasting blood sugar result
C1271650,lbtr,Antimicrobial activity
C1334171,lbtr,Ineffective hematopoiesis
C1335386,lbtr,Peripheral Blood Eosinophilia
C1517175,lbtr,Fibroblast Growth Factor 2 Overexpression
C1829683,lbtr,Bacterial virulence
C1853129,lbtr,LABORATORY ABNORMALITIES
C2945560,lbtr,Hemolysis (lab result)
C3463810,lbtr,Proteomic Profile
C3656358,lbtr,HIV 1 subtype
C3686757,lbtr,Feline immunodeficiency virus test negative
C3828286,lbtr,S0
C4086718,lbtr,PSA Level Five to Ten
C4086719,lbtr,PSA Level Ten to Fifty
