cui,type,name
C0005861,mbrt,Northern Blotting
C0005862,mbrt,Southern blot assay (procedure)
C0017387,mbrt,Genetic Engineering
C0079247,mbrt,DNA Fingerprinting
C0079869,mbrt,Oligonucleotide-Directed Mutagenesis
C0080143,mbrt,Sequence Alignment
C0178648,mbrt,Gene Fusion
C0178659,mbrt,genetic manipulation
C0200928,mbrt,Ribotyping
C0221902,mbrt,DNA hybridization
C0242574,mbrt,Nested Polymerase Chain Reaction
C0242613,mbrt,Gene Targeting
C0376638,mbrt,Biolistics
C0487717,mbrt,Viral Sequencing
C0525015,mbrt,"Nuclear Magnetic Resonance, Heteronuclear"
C0597416,mbrt,RNase protection assay
C0597707,mbrt,representational difference analysis
C0597731,mbrt,Surface Plasmon Resonance
C0598991,mbrt,gene synthesis
C0599161,mbrt,Reverse Transcriptase Polymerase Chain Reaction
C0599647,mbrt,Yeast One/Two-Hybrid System
C0599748,mbrt,Tandem Mass Spectrometry
C0599772,mbrt,Gene Knockout Techniques
C0600368,mbrt,Genetic Fingerprinting
C0600528,mbrt,In Situ Nick-End Labeling
C0678931,mbrt,genetic correlation analysis
C0683224,mbrt,QTL mapping
C0751979,mbrt,Alkaline Comet Assay
C0751980,mbrt,Comet Assay
C0814038,mbrt,genetic technology
C0814042,mbrt,transgenic technology
C0872130,mbrt,Cell Engineering
C0872284,mbrt,terminal deoxynucleotidyl transferase nick end labeling
C0887812,mbrt,Branched DNA Signal Amplification Assay
C0887813,mbrt,Nucleic Acid Amplification Techniques
C0887814,mbrt,DNA Amplification Techniques
C0887816,mbrt,Self-Sustained Sequence Replication
C0920648,mbrt,RNA amplification
C0920677,mbrt,Gene Delivery Systems
C0949688,mbrt,Molecular Diagnostic Techniques
C0969664,mbrt,NASBA
C1113686,mbrt,directed evolution
C1136345,mbrt,Protein Microarray Analysis
C1328887,mbrt,genome sequencing
C1511040,mbrt,Baculovirus Expression System
C1511759,mbrt,Deletion Mutagenesis
C1511897,mbrt,Dideoxy Chain Termination DNA Sequencing
C1512489,mbrt,Homology Modeling
C1513380,mbrt,Molecular Analysis
C1513384,mbrt,Molecular Genetic Technique
C1513400,mbrt,Molecular Profiling
C1514433,mbrt,Primer Extension
C1514534,mbrt,Protein Analysis
C1514628,mbrt,Quantitative Reverse Transcriptase PCR
C1515232,mbrt,TdT-Mediated dUTP Nick End Labeling Assay
C1515564,mbrt,cDNA Library Construction
C1516329,mbrt,Cell Culture System
C1516711,mbrt,Combinatorial Synthesis
C1517480,mbrt,Gene Amplification Technique
C1517519,mbrt,Genome Scan
C1517723,mbrt,Large-Scale Sequencing
C1519025,mbrt,Phage Display
C1519159,mbrt,SSCP Analysis
C1519305,mbrt,Shotgun Sequencing
C1520146,mbrt,Whole Genome Amplification
C1522053,mbrt,DNA Microarray format
C1706688,mbrt,Absorbance at 260nm
C1706689,mbrt,Absorbance at 280nm
C1709846,mbrt,Real-Time Polymerase Chain Reaction
C1880109,mbrt,Clonality Analysis
C1880945,mbrt,Gene Expression Analysis
C1961118,mbrt,Yeast Two-Hybrid System Techniques
C2350277,mbrt,Genome-Wide Association Study
C2717881,mbrt,Candidate Gene Identification
C2826170,mbrt,Immortalization
C2936605,mbrt,Protein Annotation
C2936606,mbrt,Gene Annotation
C2936621,mbrt,High-Throughput Nucleotide Sequencing
C2936622,mbrt,Massively-Parallel Sequencing
C2936623,mbrt,High-Throughput RNA Sequencing
C2936624,mbrt,Deep Sequencing
C2936625,mbrt,High-Throughput DNA Sequencing
C3179022,mbrt,Metabolic Engineering
C3179032,mbrt,Multiplex Polymerase Chain Reaction
C3179033,mbrt,Triplex Polymerase Chain Reaction
C3179034,mbrt,Quantitative Real-Time Polymerase Chain Reaction
C3494191,mbrt,Phage Display Techniques
C3494301,mbrt,Optogenetics
C3640076,mbrt,Whole Genome Sequencing
C3640077,mbrt,Whole Exome Sequencing
C3831111,mbrt,ChIP-Seq
C3831112,mbrt,ChIP-On-Chip
C3839010,mbrt,Ribonucleic acid extraction technique
C3839098,mbrt,Deoxyribonucleic acid extraction technique
C3850000,mbrt,Subtractive Hybridization Techniques
C3897601,mbrt,Single Nucleotide Polymorphism Array
C3899368,mbrt,Direct Sequencing
C3899376,mbrt,Digital Array
C3899488,mbrt,Cross-linking Immunoprecipitation High-throughput Sequencing
C4277689,mbrt,Gene Modification
C4279981,mbrt,Genome Editing
C4288871,mbrt,Ion Semiconductor Sequencing
C4319106,mbrt,Sequence-based Typing
C4331292,mbrt,Single Nucleotide Polymorphism Profile
C4331802,mbrt,mRNA Sequencing
