cui,type,name
C0000715,mnob,Abattoirs
C0001516,mnob,Adhesives
C0002422,mnob,Ambulances
C0003103,mnob,Anode
C0004381,mnob,Automobiles
C0004914,mnob,Bedding
C0004916,mnob,Beds
C0007441,mnob,Cathode
C0009072,mnob,Clothing
C0009622,mnob,Computers
C0010164,mnob,Cosmetics
C0010600,mnob,Cyclotrons
C0013812,mnob,electrode
C0013890,mnob,Elevator
C0014672,mnob,Equipment
C0014679,mnob,Hospital Equipment
C0014829,mnob,Escalators
C0016126,mnob,Fingerprints
C0018020,mnob,Goggles
C0018397,mnob,Guns
C0020050,mnob,Household Products
C0020056,mnob,Housing
C0021941,mnob,Equipment and supply inventories
C0021953,mnob,Investments
C0023089,mnob,Lasers
C0024722,mnob,Manikins
C0024940,mnob,Mattresses
C0025256,mnob,"Membranes, Artificial"
C0026032,mnob,Microspheres
C0026616,mnob,Motorcycles
C0028736,mnob,Nylons
C0030208,mnob,Paintings
C0030351,mnob,Paper
C0030707,mnob,Patients' Rooms
C0033168,mnob,Prisons
C0033611,mnob,Protective Clothing
C0034513,mnob,Radar
C0034646,mnob,Ramp
C0034762,mnob,Real-Time Systems
C0034958,mnob,Refrigerator
C0036623,mnob,Semiconductors
C0036971,mnob,Ships
C0036988,mnob,Shoes
C0037003,mnob,Shotguns
C0037392,mnob,Soap
C0037585,mnob,Computer software
C0039224,mnob,Table - furniture
C0039717,mnob,Textiles
C0039818,mnob,"Thermometer, device"
C0040565,mnob,Toys
C0040594,mnob,Track (course)
C0042655,mnob,videocassette
C0043303,mnob,X-Ray Film
C0086296,mnob,film (photographic)
C0162419,mnob,Personal Computers
C0162738,mnob,Synchrotrons
C0175720,mnob,Caliper
C0175738,mnob,Freezer
C0179330,mnob,Blanket
C0179376,mnob,"Bottle, device"
C0179400,mnob,Box
C0179515,mnob,CALIBRATOR
C0179586,mnob,Caps
C0180098,mnob,Containers
C0180861,mnob,Air Filters
C0181467,mnob,knife
C0181868,mnob,Mirror
C0183309,mnob,Simulators
C0183319,mnob,Sinks
C0184219,mnob,Urinals
C0220819,mnob,device aspects
C0220913,mnob,Manufactured sign
C0237638,mnob,Generators (Apparatus)
C0331794,mnob,Boots
C0336537,mnob,Robot (device)
C0336616,mnob,Towel
C0336635,mnob,Glass tube
C0336663,mnob,Weapons
C0336721,mnob,Arrow
C0336725,mnob,Cross-bow
C0336757,mnob,"Heater, device"
C0336762,mnob,Ladder
C0336779,mnob,Machine
C0336789,mnob,Combine
C0336794,mnob,Power tool
C0336815,mnob,Motor bus
C0336816,mnob,School bus
C0336894,mnob,Footwear
C0337076,mnob,Industrial machine
C0337112,mnob,Chain device
C0337143,mnob,Scaffold
C0347997,mnob,Physical object
C0348000,mnob,Instrument - device
C0424930,mnob,Pre-school
C0432588,mnob,Residential institution
C0441035,mnob,Cooking stove
C0441051,mnob,Gloves
C0441444,mnob,Cargo vessel
C0441468,mnob,photograph
C0442519,mnob,Home environment
C0442603,mnob,Office
C0442629,mnob,Airports
C0442632,mnob,Boat dock
C0442677,mnob,Public building
C0449432,mnob,Component object
C0452227,mnob,"Belt, device"
C0453887,mnob,Body suit
C0453939,mnob,Skirt
C0453947,mnob,Raincoat
C0453962,mnob,Trainers
C0453975,mnob,Headband
C0453982,mnob,Velcro
C0453984,mnob,Zipper
C0475311,mnob,Harbor
C0556991,mnob,Fuel
C0557636,mnob,Military accommodation
C0557653,mnob,Kitchen
C0557668,mnob,Landing
C0557679,mnob,External wall
C0557702,mnob,Window (physical object)
C0557704,mnob,Natural ventilation
C0557778,mnob,Supermarket
C0557806,mnob,College
C0558281,mnob,Regional center
C0562324,mnob,Church (environment)
C0563050,mnob,Attic Room
C0597997,mnob,Superconducting Quantum Interference Device
C0598124,mnob,charge coupled device camera
C0599997,mnob,Mill
C0677453,mnob,Cigarette
C0677535,mnob,Walls of a building
C0681495,mnob,Movies
C0683898,mnob,enclosure
C0683901,mnob,Airplanes
C0868936,mnob,Communication Systems (object)
C0870240,mnob,Calculator
C0870369,mnob,Crafts (art)
C0872107,mnob,beamline
C0872203,mnob,Optical Trap
C0872329,mnob,animal facility
C0920429,mnob,cell bank
C0920585,mnob,microchip
C0936091,mnob,Annual Reports
C1136359,mnob,Cellular Phone
C1136360,mnob,Mobile Phone
C1257851,mnob,Nanotubes
C1258084,mnob,Quantum Dots
C1289846,mnob,Helium Neon Gas Lasers
C1299950,mnob,Litter
C1300458,mnob,Nebulizer solution
C1443871,mnob,Personal protective equipment
C1450053,mnob,Nanostructured Materials
C1450054,mnob,Artificial nanoparticles
C1547538,mnob,Facility
C1551377,mnob,holder
C1551383,mnob,Screw Cap
C1553446,mnob,Suite
C1553451,mnob,System - kit
C1561954,mnob,tube
C1704639,mnob,Matrix Component of Device
C1706710,mnob,Adapter Device Component
C1707144,mnob,CPU (central processing unit of computer system)
C1708698,mnob,Light Emitting Diode Device Component
C1709016,mnob,Microarray
C1721060,mnob,Metal Nanoparticles
C1721062,mnob,Nanocapsules
C1721063,mnob,Nanowires
C1736830,mnob,Workstation
C1738334,mnob,Tracking system
C1881922,mnob,Multi-Walled Nanotube
C1881960,mnob,Nanofibers
C1881983,mnob,Nanoshells
C1883034,mnob,Single-Walled Nanotube
C1883167,mnob,Station
C1948062,mnob,Copy (object)
C2350032,mnob,Global Positioning Systems
C2350275,mnob,Optical System
C2350643,mnob,Millipore Filters
C2355578,mnob,Fiber Optic Cables
C2594855,mnob,Binoculars
C2697665,mnob,Imaging System
C2827661,mnob,Spreadsheet
C2936467,mnob,Nanodiamonds
C2984220,mnob,Bidis
C2985411,mnob,Ultrasound Transducer
C2986741,mnob,Dose Calibrator
C3204335,mnob,Smartphone
C3642464,mnob,Cryovial
C3827736,mnob,Ultra Low Temperature Freezer
C3847505,mnob,Repository
C3873699,mnob,Console
C3873701,mnob,Control unit
C4019284,mnob,Uniforms
C4289735,mnob,Cover Slip
