cui,type,name
C0008109,orgm,Chimera organism
C0019425,orgm,Heterozygote
C0019904,orgm,Homozygote
C0020205,orgm,Hybrids
C0038027,orgm,Reproduction spores
C0162470,orgm,Specific Pathogen Free
C0206333,orgm,Blood-Borne Pathogens
C0314731,orgm,"Microbiologic agent, NOS"
C0314732,orgm,Infectious agent
C0445623,orgm,Microorganism
C0450254,orgm,Pathogenic organism
C0562623,orgm,Heterotroph
C0562624,orgm,Autotroph
C0562641,orgm,Symbiont
C0585171,orgm,Protozoan parasite
C0597305,orgm,protists
C0597570,orgm,thermophile
C0599383,orgm,Marine Organisms
C0599804,orgm,pure line
C0600517,orgm,"Organisms, Transgenic"
C0682518,orgm,Animal Organism Strain
C0684063,orgm,Eukaryota
C0969756,orgm,"Organisms, Genetically Modified"
C1136222,orgm,"Mice, Biozzi"
C1328927,orgm,microbial host
C1444089,orgm,Resistant organism
C1512692,orgm,Inbred Strain
C1514798,orgm,Recombinants
C1518032,orgm,Lower Organism
C1552741,orgm,living subject
C1562052,orgm,Enteropathogen
C1628327,orgm,Zoonotic pathogen
C1705908,orgm,Veterinary Patient
C1882357,orgm,Pharyngeal/Respiratory Flora
C1956108,orgm,Microbiome
C2746012,orgm,cellular organisms
C2936620,orgm,Microbial Consortia
C2985398,orgm,Intestinal Microbiome
C3826980,orgm,Multi-Drug Resistant Organism
C4018878,orgm,Gastrointestinal Microbiome
C4086236,orgm,Definitive Host
C4086523,orgm,Intermediate Host
C4267729,orgm,Respiratory pathogens
