cui,type,name
C0000876,orgt,Academies
C0008070,orgt,Day Care Centers for Children
C0009753,orgt,Congress (U.S. Legislature)
C0015179,orgt,European Union
C0015737,orgt,Federal Government
C0016502,orgt,Food processing industry
C0016617,orgt,Foundations
C0018104,orgt,Government
C0018105,orgt,Government Agencies
C0021415,orgt,Information Centers
C0021622,orgt,Institutes
C0021784,orgt,International Agencies
C0022877,orgt,Laboratory
C0023621,orgt,Libraries
C0026219,orgt,Religious Missions
C0026788,orgt,Local Government
C0027446,orgt,National Academy of Sciences (U.S.)
C0027472,orgt,National Research Council
C0028659,orgt,Nurseries
C0029246,orgt,Organization administrative structures
C0029247,orgt,Nonprofit Organizations
C0033145,orgt,Primary Schools
C0035172,orgt,Research Institutes
C0036375,orgt,School
C0036379,orgt,"Schools, Nursery"
C0036530,orgt,"Schools, Secondary"
C0041701,orgt,United Nations
C0041735,orgt,United States Department of Veterans Affairs
C0041740,orgt,Universities
C0043234,orgt,World Bank
C0085410,orgt,United States Department of Agriculture
C0175952,orgt,Day care center (for any age)
C0178572,orgt,court
C0237463,orgt,Agencies
C0282271,orgt,Non-Governmental Organizations
C0337651,orgt,Orphanages
C0424935,orgt,Boarding school
C0557797,orgt,Middle school
C0557799,orgt,Grammar school
C0557800,orgt,Public school
C0582205,orgt,Utilities (organization)
C0596497,orgt,Elementary Schools
C0598079,orgt,American Type Culture Collection
C0599395,orgt,High Schools
C0600216,orgt,European Common Market
C0679729,orgt,cooperative
C0680400,orgt,social institution
C0680774,orgt,independent agency
C0680777,orgt,state agency
C0680778,orgt,army
C0680877,orgt,public and private
C0680880,orgt,profit
C0681331,orgt,higher education institution
C0682028,orgt,mining industry
C0683757,orgt,Company (organization)
C0683758,orgt,corporation
C0683939,orgt,research center
C0870614,orgt,graduate schools
C0876933,orgt,Kindergartens (organization)
C1510747,orgt,Academia (organization)
C1549054,orgt,Veterans Affairs
C1555720,orgt,Nation
C1704729,orgt,Department
C1705803,orgt,National Center for Biotechnology Information
C1707512,orgt,Coordinating Center
C1708702,orgt,Limited Liability Partnership
C1709015,orgt,MicroArray and Gene Expression
C1711206,orgt,Partnership
C1880016,orgt,Central Laboratory
C1883464,orgt,University of California at Santa Cruz
C2347782,orgt,NIH Clinical Center
C2350578,orgt,Public-Private Sector Partnerships
C3658240,orgt,Senior Centers
C3828314,orgt,Roche Diagnostics
C4085209,orgt,Production Assistance for Cellular Therapies
C4279960,orgt,Fish Farms
C4279966,orgt,Dairy Industry
C4524550,orgt,Cooperative Association
