cui,type,name
C0000833,patf,Abscess
C0000887,patf,Acantholysis
C0001122,patf,Acidosis
C0001349,patf,Acute-Phase Reaction
C0001364,patf,Massive Hepatic Necrosis
C0001688,patf,aspects of adverse effects
C0002064,patf,"Alkalosis, Respiratory"
C0002170,patf,Alopecia
C0002792,patf,anaphylaxis
C0002994,patf,Angioedema
C0003130,patf,Anoxia
C0003132,patf,Anoxic Encephalopathy
C0003578,patf,Apnea
C0003811,patf,Cardiac Arrhythmia
C0003860,patf,Arteritis
C0004044,patf,Asphyxia
C0004058,patf,Aspirin allergy
C0004144,patf,Atelectasis
C0004238,patf,Atrial Fibrillation
C0004239,patf,Atrial Flutter
C0004366,patf,Autoimmune Response
C0004372,patf,Autolysis
C0005417,patf,Biliary Fistula
C0005758,patf,Bulla
C0006110,patf,Brain Death
C0006114,patf,Cerebral Edema
C0006119,patf,Brain Pathology
C0007820,patf,Cerebrovascular Disorders
C0007994,patf,chemically induced
C0008519,patf,Ectopic Tissue
C0009760,patf,Conjunctival hemorrhage
C0009814,patf,Acquired stenosis
C0010828,patf,Cytopenia
C0011164,patf,Abnormal degeneration
C0011304,patf,Demyelination
C0011560,patf,Amyloid deposition
C0012359,patf,Pathological Dilatation
C0012767,patf,Tooth eruption disorder
C0013390,patf,Dysmenorrhea
C0013604,patf,Edema
C0013687,patf,effusion
C0013922,patf,Embolism
C0013990,patf,Pathological accumulation of air in tissues
C0014461,patf,Eosinophilic Granuloma
C0014591,patf,Epistaxis
C0015376,patf,Extravasation
C0015668,patf,Fat necrosis
C0015924,patf,Fetal Anoxia
C0015927,patf,Fetal Death
C0015934,patf,Fetal Growth Retardation
C0015959,patf,Fetomaternal Transfusion
C0016059,patf,Fibrosis
C0016549,patf,Foreign-Body Reaction
C0017181,patf,Gastrointestinal Hemorrhage
C0017639,patf,Gliosis
C0018134,patf,Graft vs Host Reaction
C0018188,patf,Granuloma
C0018193,patf,"Granuloma, Foreign-Body"
C0018273,patf,Growth Disorders
C0018790,patf,Cardiac Arrest
C0018926,patf,Hematemesis
C0018944,patf,Hematoma
C0019123,patf,Hemothorax
C0020452,patf,Hyperemia
C0020461,patf,Hyperkalemia
C0020507,patf,Hyperplasia
C0020510,patf,Nodular hyperplasia
C0020517,patf,Hypersensitivity
C0020522,patf,Delayed Hypersensitivity
C0020523,patf,Immediate hypersensitivity
C0020564,patf,Hypertrophy
C0020683,patf,Hypovolemic Shock
C0020963,patf,Immune Tolerance
C0021308,patf,Infarction
C0021361,patf,Female infertility
C0021368,patf,Inflammation
C0021375,patf,allergic inflammation
C0021376,patf,Chronic inflammation
C0021385,patf,Necrotizing inflammation
C0021387,patf,Postinfection inflammation
C0021655,patf,Insulin Resistance
C0022346,patf,Icterus
C0022650,patf,Kidney Calculi
C0023052,patf,Laryngeal Edema
C0023518,patf,Leukocytosis
C0023869,patf,Lithiasis
C0024050,patf,Lower gastrointestinal hemorrhage
C0024348,patf,Lysis
C0024524,patf,Malacia
C0025062,patf,Mediastinal Emphysema
C0025222,patf,Melena
C0025345,patf,Menstruation Disturbances
C0025874,patf,Metrorrhagia
C0026766,patf,Multiple Organ Failure
C0027055,patf,Myocardial Reperfusion Injury
C0027540,patf,Necrosis
C0027543,patf,Avascular necrosis of bone
C0027626,patf,Neoplasm Invasiveness
C0027686,patf,Pathologic Neovascularization
C0028778,patf,Obstruction
C0029163,patf,Oral Hemorrhage
C0029191,patf,Orchitis
C0029445,patf,Bone necrosis
C0030660,patf,Pathologic Processes
C0031557,patf,Phlegmon
C0032227,patf,Pleural effusion disorder
C0032780,patf,Postmortem Changes
C0032787,patf,Postoperative Complications
C0032788,patf,Postoperative Hemorrhage
C0032797,patf,Postpartum Hemorrhage
C0033677,patf,Protein-Energy Malnutrition
C0035228,patf,Respiratory Hypersensitivity
C0035229,patf,Respiratory Insufficiency
C0035317,patf,Retinal Hemorrhage
C0035320,patf,Retinal Neovascularization
C0035410,patf,Rhabdomyolysis
C0035956,patf,"Rupture, Spontaneous"
C0036429,patf,Sclerosis
C0036679,patf,Diastasis
C0036749,patf,Serositis
C0036974,patf,Shock
C0036980,patf,"Shock, Cardiogenic"
C0036982,patf,"Shock, Hemorrhagic"
C0036983,patf,Septic Shock
C0036986,patf,"Shock, Traumatic"
