cui,type,name
C0005516,qlco,Biological Markers
C0005891,qlco,Body Image
C0013658,qlco,Educational Status
C0032972,qlco,Pregnancy Outcome
C0034379,qlco,Quality of Health Care
C0162468,qlco,Social Impact
C0162643,qlco,treatment failure
C0184511,qlco,Improved
C0184512,qlco,Stabilized (qualifier value)
C0205160,qlco,Negative
C0205219,qlco,Diffuse
C0205623,qlco,T-cell origin
C0332148,qlco,Probable diagnosis
C0332149,qlco,Possible
C0332219,qlco,Easy
C0332572,qlco,Abnormal color
C0392756,qlco,Reduced
C0439822,qlco,Highly sensitive
C0439855,qlco,Complex
C0442797,qlco,Decreasing
C0457784,qlco,Particulate (substance)
C0481667,qlco,Live Birth
C0522476,qlco,Patient affected
C0598285,qlco,diagnostic accuracy
C1253910,qlco,Biological Community
C1280500,qlco,Effect
C1446409,qlco,Positive
C1511983,qlco,disease markers
C1515999,qlco,Anti-inflammatory effect
C1883725,qlco,Replicate
C1999216,qlco,Inhibitor
C2349977,qlco,On Study
C2987487,qlco,Deficit
