cui,type,name
C0002780,qnco,Analysis of Variance
C0004790,qnco,Base Composition
C0005607,qnco,Birth Order
C0009085,qnco,statistical cluster
C0009247,qnco,Cohort Studies
C0010186,qnco,Financial cost
C0012630,qnco,Discriminant Analysis
C0012751,qnco,Distance
C0013682,qnco,Efficiency
C0013777,qnco,Electric Conductivity
C0013852,qnco,Electrons
C0021861,qnco,Intraobserver Variation
C0022171,qnco,Isoelectric Point
C0023378,qnco,Lethal Dose 50
C0023732,qnco,Linear Models
C0023733,qnco,Linear Regression
C0023746,qnco,Linkage Disequilibrium
C0026385,qnco,Molecular Weight
C0026565,qnco,Mortality Vital Statistics
C0026777,qnco,Multivariate Analysis
C0027616,qnco,Neonatal Mortality
C0028377,qnco,Normal Statistical Distribution
C0028873,qnco,Odds Ratio
C0030608,qnco,Particle Size
C0032246,qnco,Ploidies
C0032659,qnco,geographic population
C0032667,qnco,Population Dynamics
C0032847,qnco,Potentiometry
C0033204,qnco,Probability
C0034925,qnco,Reference Standards
C0035363,qnco,Retrospective Studies
C0035648,qnco,risk factors
C0036668,qnco,Sensitivity and Specificity
C0037791,qnco,Specificity
C0038592,qnco,Substrate Specificity
C0038953,qnco,Survival Analysis
C0038954,qnco,Survival Rate
C0039476,qnco,Temperature
C0086715,qnco,Normal Range
C0150312,qnco,Present
C0162339,qnco,Cell Density
C0162521,qnco,Exercise Tolerance
C0205174,qnco,Triplicate
C0205217,qnco,Increased
C0205393,qnco,Most
C0205447,qnco,One
C0205448,qnco,Two
C0205449,qnco,Three
C0205450,qnco,Four
C0205452,qnco,Six
C0205454,qnco,Eight
C0237881,qnco,Statistical Significance
C0242618,qnco,Sample Size
C0242791,qnco,Sentinel Surveillance
C0242925,qnco,Kolmogorov-Smirnov Test
C0242927,qnco,Mann-Whitney U Test
C0243169,qnco,toxic potential
C0376690,qnco,Area Under Curve
C0392762,qnco,Quantitative
C0439064,qnco,Numerous
C0439083,qnco,>90
C0439148,qnco,Unit
C0439157,qnco,counts
C0439170,qnco,% fetal cells
C0439175,qnco,% of total
C0439178,qnco,percent positive cells
C0439183,qnco,Arbitrary unit
C0439185,qnco,Equivalent Weight
C0439212,qnco,nanogram
C0439242,qnco,milliliter
C0439267,qnco,Gram per Deciliter
C0439268,qnco,Microgram per Milliliter
C0439275,qnco,Microgram per Liter
C0439294,qnco,Kilogram per Cubic Meter
C0439297,qnco,Nanogram per Liter
C0439393,qnco,Liter per Minute
C0439394,qnco,liter/second
C0439402,qnco,mL/min/kg
C0439475,qnco,mmHg
C0439751,qnco,Entire
C0444500,qnco,0.5
C0444667,qnco,Whole
C0445550,qnco,Low dose
C0449468,qnco,Volume
C0449819,qnco,Wavelength
C0449820,qnco,Score
C0449971,qnco,Volume of fluid used
C0450367,qnco,4/5
C0456615,qnco,Billion per Liter
C0457242,qnco,square metres
C0470277,qnco,2000
C0475208,qnco,Titer
C0475210,qnco,centimeter
C0475219,qnco,Liter Per Day
C0522525,qnco,Semi-quantitative
C0556642,qnco,mega electronvolt
C0559279,qnco,Simplified acute physiology score (observable entity)
C0597526,qnco,Stoichiometry
C0598631,qnco,lipophilicity
C0599530,qnco,enthalpy
C0600457,qnco,Gravidity
C0678752,qnco,free drug
C0678756,qnco,drug concentration
C0681024,qnco,economic impact
C0681030,qnco,Economic Growth
C0681921,qnco,Coefficient of Variance
C0683149,qnco,serum concentration
C0683150,qnco,plasma concentration
C0683920,qnco,attack rate
C0700321,qnco,Small
C0740116,qnco,+2
C0750572,qnco,Estimated
C0752079,qnco,Maximum Tolerated Dose
C0814225,qnco,benefit
C0814843,qnco,effect size
C0871362,qnco,signal intensity
C1113695,qnco,brain volume
C1136206,qnco,Glycemic Index
