cui,type,name
C0013330,sbst,Dust
C0025938,sbst,Micelles
C0030739,sbst,Peat
C0037592,sbst,Soil
C0037633,sbst,Solutions
C0043217,sbst,Wood material
C0086805,sbst,Photons
C0183753,sbst,Swab specimen
C0225386,sbst,Breath
C0302908,sbst,Liquid substance
C0370003,sbst,Specimen
C0439861,sbst,Substance
C0439962,sbst,Mixture
C0440266,sbst,Debris
C0444315,sbst,Food specimen
C0444318,sbst,Milk Specimen
C0524581,sbst,House Dust
C0599638,sbst,Drinking Water
C0683094,sbst,inhaled substance
C0724557,sbst,CLEANSER
C0729650,sbst,Constituents
C0868994,sbst,moisture
C1254373,sbst,etiologic agent
C1258026,sbst,Compost
C1519355,sbst,Slice
C1533157,sbst,Block Specimens
C1709595,sbst,Pooled Sample
C1720884,sbst,Particulate Matter
C2986569,sbst,Buildup
C3641126,sbst,Racemate
C3853628,sbst,Granule
C3891814,sbst,Substrate
C3898767,sbst,Inducer
C4047357,sbst,Rosewood
